context_date,target_public_rate,comp_set_median_rate,market_median_rate,proper_vs_comp_set_index,public_rate_pressure_index,high_demand_rate_flag,upgrade_opportunity_cost_proxy,refund_cost_pressure,quote_count,target_property_quote_count,comp_set_quote_count,limited_availability_share,free_cancellation_share,target_rating,comp_set_median_rating,target_hotel_class,comp_set_median_hotel_class,target_amenity_count,comp_set_median_amenity_count,rate_context_confidence,pricing_capture_method,pricing_provenance,pricing_context_note
2026-01-13,605,540,542,1.12,0,false,48,0.89,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-14,710,705,708,1.007,0.356,false,112,1.011,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-15,800,765,765,1.046,0.711,false,189,1.17,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-16,740,715,728,1.035,0.474,false,136,1.068,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-17,710,760,755,0.934,0.356,false,112,1.009,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-18,715,720,718,0.993,0.375,false,116,1.018,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-19,620,600,608,1.033,0,false,50,0.868,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-20,580,645,620,0.899,0,false,46,0.86,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-21,725,760,742,0.954,0.415,false,124,1.034,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-22,660,615,638,1.073,0.158,false,76,0.945,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-23,765,740,752,1.034,0.573,false,158,1.109,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-24,705,755,730,0.934,0.336,false,109,1.001,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-25,750,670,690,1.119,0.514,false,145,1.106,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-26,740,740,740,1.0,0.474,false,136,1.059,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-27,710,665,675,1.068,0.356,false,112,1.026,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-28,600,635,618,0.945,0,false,48,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-29,605,710,680,0.852,0,false,48,0.86,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-30,755,690,720,1.094,0.534,false,149,1.108,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-01-31,735,735,735,1.0,0.455,false,132,1.051,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-01,690,725,708,0.952,0.277,false,97,0.976,6,1,5,0.0,0.167,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-02,635,680,668,0.934,0.059,false,59,0.885,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-03,660,690,690,0.957,0.158,false,76,0.926,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-04,530,625,615,0.848,0,false,42,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-05,650,590,610,1.102,0.119,false,69,0.935,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-06,680,620,645,1.097,0.237,false,90,0.984,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-07,735,710,722,1.035,0.455,false,132,1.06,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-08,810,745,772,1.087,0.751,true,199,1.197,6,1,5,0.167,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-09,655,630,642,1.04,0.138,false,72,0.928,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-10,640,665,652,0.962,0.079,false,62,0.893,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-11,630,650,640,0.969,0.04,false,56,0.877,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-12,560,575,568,0.974,0,false,45,0.86,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-13,760,820,800,0.927,0.553,true,153,1.092,6,1,5,0.5,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-14,825,855,840,0.965,0.81,true,213,1.2,6,1,5,0.667,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-15,915,890,902,1.028,1,true,274,1.287,6,1,5,0.833,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-16,540,575,560,0.939,0,false,43,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-17,590,605,598,0.975,0,false,47,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-18,635,680,680,0.934,0.059,false,59,0.885,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-19,630,615,618,1.024,0.04,false,56,0.883,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-20,660,705,692,0.936,0.158,false,76,0.926,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-21,705,680,682,1.037,0.336,false,109,1.01,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-22,755,730,742,1.034,0.534,false,149,1.093,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-23,690,605,642,1.14,0.277,false,97,1.011,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-24,655,630,642,1.04,0.138,false,72,0.928,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-25,595,710,668,0.838,0,false,48,0.86,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-26,655,615,632,1.065,0.138,false,72,0.934,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-27,745,725,728,1.028,0.494,false,141,1.075,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-02-28,690,710,700,0.972,0.277,false,97,0.976,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-01,840,815,828,1.031,0.87,true,228,1.233,6,1,5,0.5,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-02,800,730,730,1.096,0.711,false,189,1.183,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-03,590,590,590,1.0,0,false,47,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-04,580,595,590,0.975,0,false,46,0.86,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-05,620,655,638,0.947,0,false,50,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-06,775,730,742,1.062,0.613,false,166,1.133,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-07,725,675,700,1.074,0.415,false,124,1.053,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-08,780,765,765,1.02,0.632,false,171,1.131,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-09,585,625,612,0.936,0,false,47,0.86,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-10,655,675,670,0.97,0.138,false,72,0.918,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-11,575,555,565,1.036,0,false,46,0.869,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-12,670,650,660,1.031,0.198,false,83,0.951,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-13,785,730,742,1.075,0.652,false,175,1.153,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-14,765,745,755,1.027,0.573,false,158,1.107,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-15,780,760,770,1.026,0.632,false,171,1.132,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-16,645,635,640,1.016,0.099,false,66,0.906,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-17,570,590,580,0.966,0,false,46,0.86,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-18,775,760,768,1.02,0.613,false,166,1.122,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-19,660,645,652,1.023,0.158,false,76,0.932,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-20,775,750,752,1.033,0.613,false,166,1.126,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-21,695,670,682,1.037,0.296,false,101,0.994,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-22,750,745,748,1.007,0.514,false,145,1.078,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-23,655,595,598,1.101,0.138,false,72,0.943,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-24,715,660,668,1.083,0.375,false,116,1.038,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-25,655,630,642,1.04,0.138,false,72,0.928,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-26,690,680,685,1.015,0.277,false,97,0.98,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-27,810,760,768,1.066,0.751,true,199,1.192,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-28,740,785,778,0.943,0.474,false,136,1.059,6,1,5,0.167,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-29,760,735,738,1.034,0.553,false,153,1.101,6,1,5,0.167,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-30,690,695,692,0.993,0.277,false,97,0.976,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-03-31,660,630,632,1.048,0.158,false,76,0.938,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-01,595,675,658,0.881,0,false,48,0.86,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-02,705,670,672,1.052,0.336,false,109,1.014,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-03,760,745,750,1.02,0.553,false,153,1.097,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-04,735,735,735,1.0,0.455,false,132,1.051,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-05,760,765,762,0.993,0.553,false,153,1.092,6,1,5,0.167,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-06,575,555,565,1.036,0,false,46,0.869,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-07,635,560,572,1.134,0.059,false,59,0.918,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-08,625,690,658,0.906,0.02,false,53,0.868,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-09,560,580,570,0.966,0,false,45,0.86,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-10,770,700,720,1.1,0.593,false,162,1.134,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-11,670,720,695,0.931,0.198,false,83,0.943,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-12,695,670,682,1.037,0.296,false,101,0.994,6,1,5,0.167,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-13,635,565,580,1.124,0.059,false,59,0.916,6,1,5,0.0,0.333,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-14,575,575,575,1.0,0,false,46,0.86,6,1,5,0.0,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-15,675,605,610,1.116,0.217,false,86,0.98,6,1,5,0.0,1.0,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-16,735,725,730,1.014,0.455,false,132,1.054,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-17,785,745,752,1.054,0.652,false,175,1.147,6,1,5,0.167,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-18,810,755,782,1.073,0.751,true,199,1.194,6,1,5,0.333,0.5,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-19,720,680,700,1.059,0.395,false,120,1.041,6,1,5,0.0,0.667,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
2026-04-20,660,695,678,0.95,0.158,false,76,0.926,6,1,5,0.0,0.833,4.5,4.4,5.0,5.0,8,7,0.92,sample_seed,sample_seed_public_rate_shape,"public quoted pricing context; not internal ADR, occupancy, revenue, margin, or comp policy"
