recovery_case_id,service_ticket_id,pms_reservation_id,crm_guest_id,reservation_match_confidence,reservation_match_method,crm_match_confidence,crm_match_method,comp_match_confidence,comp_match_method,guest_tier,traveler_segment,nightly_rate,stay_value,estimated_lifetime_value,guest_value_score,repeat_comp_review_risk,arrival_date,service_date,booking_channel_proxy,room_type_mismatch,room_move_count,special_requests_count,failure_category,issue_code_raw,failure_type,severity,severity_inferred_flag,hotel_responsibility_score,reported_in_stay,resolution_delay_minutes,complaint_sentiment_intensity,review_risk_score,post_stay_score,actual_comp_codes_normalized,actual_comp_labels_raw,actual_comp_face_value,actual_comp_internal_cost,total_onsite_spend,f_and_b_spend,spa_wellness_spend,parking_spend,occupancy_pressure,housekeeping_pressure,front_desk_queue_pressure,food_beverage_capacity_pressure,spa_capacity_pressure,target_property_name,has_rooftop_f_and_b,has_lobby_lounge,has_spa_wellness,has_pool_or_rooftop,has_parking_or_fee_recovery_context,has_beachfront_or_ocean_context,property_context_confidence,rooftop_f_and_b_fit_modifier,spa_wellness_fit_modifier,lobby_lounge_fit_modifier,parking_fee_fit_modifier,late_checkout_fit_modifier,room_upgrade_fit_modifier,brand_experience_weight,property_context_provenance,public_review_risk_prior,review_context_confidence,review_context_provenance,event_pressure_index,weather_disruption_index,local_demand_pressure_index,high_local_demand_flag,demand_context_confidence,demand_context_provenance,target_public_rate,comp_set_median_rate,market_median_rate,proper_vs_comp_set_index,public_rate_pressure_index,high_demand_rate_flag,upgrade_opportunity_cost_proxy,refund_cost_pressure,pricing_quote_count,rate_context_confidence,pricing_provenance,data_quality_flags
case_00011,TKT000011,PMS001392,CRM001392,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,business_traveler,800,3200,6060,0.341,0,2026-11-15,2026-11-16,corporate,false,0,2,f_and_b_service_lapse,fb service,process,2,false,0.7,true,196,0.398,0.352,7.7,,,0,0,780,740,0,40,0.573,0.766,0.604,0.444,0.373,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.155,0.273,false,0.32,sample_seed_local_demand_context,625,630,628,0.992,0.02,false,53,0.868,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00012,TKT000012,PMS001069,CRM001069,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,630,630,1010,0.14,0.2,2026-10-16,2026-10-16,ota,false,0,0,noise_disruption,sleep disruption,process,1,false,0.48,true,5,0.2,0.277,0,amenity_gesture,Bottle/amenity,65,29,45,45,0,0,0.729,0.787,0.79,0.791,0.427,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.62,0.28,sample_seed_review_taxonomy_prior,0.48,0.039,0.433,false,0.32,sample_seed_local_demand_context,785,710,718,1.106,0.652,false,175,1.16,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00013,TKT000013,PMS000371,CRM000371,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,business_traveler,750,5250,6400,0.405,0,2026-08-29,2026-08-31,direct,false,0,0,room_readiness_delay,arrival delay,outcome,3,false,0.88,true,5,0.732,0.487,6.5,,,0,0,355,0,280,0,0.546,0.377,0.702,0.394,0.431,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.121,0.231,false,0.32,sample_seed_local_demand_context,825,745,785,1.107,0.81,true,213,1.227,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00014,TKT000014,PMS000290,CRM000290,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,family_beach_trip,530,2120,3816,0.237,0,2026-07-20,2026-07-23,direct,false,0,0,billing_or_fee_dispute,folio issue,process,2,true,0.55,false,5,0.4,0.37,0,,,0,0,165,0,0,165,0.869,0.863,0.717,0.61,0.829,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.58,0.28,sample_seed_review_taxonomy_prior,0.22,0.097,0.247,false,0.32,sample_seed_local_demand_context,760,710,735,1.07,0.553,false,153,1.11,6,0.92,sample_seed_public_rate_shape,severity_inferred;ltv_imputed;no_review_or_survey;no_comp_record
case_00015,TKT000015,PMS001595,CRM001595,0.78,guest_key_date_window,0.95,direct_crm_id,0.0,no_comp_record,returning_guest,design_leisure,530,1590,3470,0.365,0,2026-01-27,2026-01-27,direct,true,1,4,room_assignment_expectation_gap,room type mismatch,outcome,3,false,0.74,false,5,0.6,0.501,0,,,0,0,240,240,0,0,0.507,0.508,0.256,0.263,0.439,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.22,0.064,0.271,false,0.32,sample_seed_local_demand_context,710,665,675,1.068,0.356,false,112,1.026,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00016,TKT000016,PMS001079,CRM001079,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,business_traveler,800,800,2940,0.292,0.2,2026-07-30,2026-07-30,ota,true,0,2,room_assignment_expectation_gap,upgrade expectation,outcome,4,false,0.79,false,5,0.8,0.605,0,late_checkout,Late checkout,85,17,330,195,0,135,0.788,0.784,0.659,0.658,0.719,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.22,0.078,0.204,false,0.32,sample_seed_local_demand_context,710,695,702,1.022,0.356,false,112,1.015,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00017,TKT000017,PMS001299,CRM001299,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,wellness_getaway,610,610,1710,0.238,0,2026-03-01,2026-03-01,ota,false,0,0,f_and_b_service_lapse,fb service,process,2,false,0.7,true,5,0.4,0.375,0,amenity_gesture,Amenity,50,22,230,155,0,0,0.601,0.438,0.655,0.328,0.42,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.02,0.371,false,0.32,sample_seed_local_demand_context,840,815,828,1.031,0.87,true,228,1.233,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00018,TKT000018,PMS000841,CRM000841,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,family_beach_trip,640,1280,4970,0.318,0.2,2026-11-07,2026-11-07,group_or_event,false,0,1,f_and_b_service_lapse,restaurant issue,process,5,false,0.75,true,5,1.0,0.592,4.7,rooftop_f_and_b_credit,Rooftop credit,115,46,290,0,290,0,0.528,0.675,0.497,0.381,0.269,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.041,0.367,false,0.32,sample_seed_local_demand_context,785,695,720,1.129,0.652,false,175,1.166,6,0.92,sample_seed_public_rate_shape,
case_00019,TKT000019,PMS000355,CRM000355,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,coastal_weekend,660,1320,5470,0.309,0,2026-09-14,2026-09-14,travel_advisor,false,0,0,room_readiness_delay,room_not_ready,outcome,4,false,0.93,true,5,0.8,0.622,0,room_upgrade,Suite upgrade,410,102,180,180,0,0,0.771,0.706,0.475,0.629,0.614,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.033,0.252,false,0.32,sample_seed_local_demand_context,785,745,758,1.054,0.652,false,175,1.147,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00020,TKT000020,PMS000239,CRM000239,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,vip_guest,coastal_weekend,820,1640,12010,0.573,0,2026-04-03,2026-04-03,direct,true,0,0,room_assignment_expectation_gap,wrong room,outcome,4,false,0.79,true,5,0.8,0.605,0,,,0,0,685,685,0,0,0.837,0.779,0.69,0.673,0.586,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.48,0.025,0.355,false,0.32,sample_seed_local_demand_context,760,745,750,1.02,0.553,false,153,1.097,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00021,TKT000021,PMS000794,CRM000794,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,coastal_weekend,750,1500,3990,0.318,0,2026-07-16,2026-07-17,direct,false,0,1,valet_or_parking_delay,parking,process,3,false,0.62,true,86,0.6,0.455,0,parking_fee_waiver,Parking waiver,0,0,295,225,0,0,0.99,0.961,0.985,0.849,0.907,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.7,0.056,0.53,false,0.32,sample_seed_local_demand_context,780,770,775,1.013,0.632,false,171,1.129,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00022,TKT000022,PMS001399,CRM001399,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,returning_guest,business_traveler,580,1160,2940,0.276,0,2026-04-08,2026-04-09,ota,false,0,0,room_assignment_expectation_gap,upgrade expectation,outcome,3,true,0.74,true,5,0.518,0.47,6.5,,,0,0,195,155,40,0,0.422,0.496,0.458,0.168,0.166,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.22,0.165,0.235,false,0.32,sample_seed_local_demand_context,560,580,570,0.966,0.0,false,45,0.86,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_comp_record
case_00023,TKT000023,PMS000336,CRM000336,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,event_or_wedding,1080,2160,4700,0.248,0,2026-05-21,2026-05-22,corporate,false,0,0,maintenance_issue,maintenance,outcome,4,false,0.83,true,52,0.8,0.608,0,,,0,0,370,370,0,0,0.75,0.66,0.767,0.688,0.769,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.48,0.021,0.388,false,0.32,sample_seed_local_demand_context,980,955,962,1.026,1.0,true,294,1.286,6,0.92,sample_seed_public_rate_shape,no_review_or_survey;no_comp_record
case_00024,TKT000024,PMS000146,CRM000146,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.62,reservation_level_comp_match,new_guest,wellness_getaway,600,1800,3710,0.221,0,2026-01-28,2026-01-30,ota,false,0,0,rooftop_pool_access_issue,pool wait,process,2,false,0.64,false,5,0.272,0.416,6.9,manager_note,No dollar comp,0,0,985,70,815,100,0.593,0.551,0.436,0.32,0.455,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.48,0.021,0.442,false,0.32,sample_seed_local_demand_context,755,690,720,1.094,0.534,false,149,1.108,6,0.92,sample_seed_public_rate_shape,
case_00025,TKT000025,PMS001547,CRM001547,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,event_or_suite_guest,wellness_getaway,1080,2160,16840,0.673,0,2026-06-19,2026-06-20,ota,false,0,0,housekeeping_miss,housekeeping,outcome,4,false,0.95,true,5,0.733,0.594,5.1,,,0,0,50,0,0,0,0.752,0.746,0.767,0.796,0.531,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.7,0.065,0.525,false,0.32,sample_seed_local_demand_context,885,830,858,1.066,1.0,true,266,1.296,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00026,TKT000026,PMS000673,CRM000673,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,coastal_weekend,670,2010,2590,0.236,0,2026-07-28,2026-07-28,corporate,true,0,1,f_and_b_service_lapse,dining delay,process,1,false,0.7,true,5,0.007,0.288,8.5,,,0,0,830,720,0,110,0.802,0.972,0.68,0.489,0.536,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.6,0.28,sample_seed_review_taxonomy_prior,0.22,0.327,0.245,false,0.32,sample_seed_local_demand_context,715,650,682,1.1,0.375,false,116,1.043,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00027,TKT000027,PMS000156,CRM000156,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.62,reservation_level_comp_match,new_guest,event_or_wedding,720,720,1280,0.163,0,2026-02-11,2026-02-11,direct,false,0,1,housekeeping_miss,hk miss,outcome,3,false,0.9,false,22,0.6,0.513,0,rooftop_f_and_b_credit,Food Credit,170,68,450,385,0,65,0.444,0.297,0.422,0.395,0.159,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.72,0.28,sample_seed_review_taxonomy_prior,0.22,0.146,0.286,false,0.32,sample_seed_local_demand_context,630,650,640,0.969,0.04,false,56,0.877,6,0.92,sample_seed_public_rate_shape,no_review_or_survey
case_00028,TKT000028,PMS001144,CRM001144,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,loyalty_guest,coastal_weekend,800,2400,8450,0.48,0,2026-01-06,2026-01-08,ota,false,0,0,valet_or_parking_delay,arrival valet,process,3,false,0.62,false,5,0.618,0.52,5.4,,,0,0,515,515,0,0,0.622,0.745,0.477,0.443,0.395,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.56,0.18,sample_seed_review_taxonomy_prior,0.22,0.1,0.211,false,0.32,sample_seed_local_demand_context,715,700,708,1.021,0.375,false,116,1.023,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00029,TKT000029,PMS000088,CRM000088,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,family_beach_trip,720,1440,2920,0.197,0,2026-02-11,2026-02-12,direct,true,1,0,room_assignment_expectation_gap,upgrade expectation,outcome,5,false,0.79,true,5,1.0,0.574,5.2,,,0,0,200,180,0,0,0.397,0.403,0.283,0.263,0.261,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.68,0.28,sample_seed_review_taxonomy_prior,0.22,0.673,0.332,false,0.32,sample_seed_local_demand_context,560,575,568,0.974,0.0,false,45,0.86,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00030,TKT000030,PMS001522,CRM001522,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.0,no_comp_record,new_guest,design_leisure,590,1180,1440,0.17,0,2026-11-27,2026-11-27,direct,false,0,0,maintenance_issue,maintenance,outcome,3,false,0.78,true,5,0.636,0.449,6.8,,,0,0,0,0,0,0,0.721,0.699,0.477,0.515,0.348,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.69,0.28,sample_seed_review_taxonomy_prior,0.48,0.066,0.408,false,0.32,sample_seed_local_demand_context,770,835,802,0.922,0.593,true,162,1.109,6,0.92,sample_seed_public_rate_shape,no_comp_record
case_00031,TKT000031,PMS001133,CRM001133,1.0,direct_pms_reservation_id,0.95,direct_crm_id,0.62,reservation_level_comp_match,new_guest,coastal_weekend,720,1440,2560,0.209,0.2,2026-04-08,2026-04-08,travel_advisor,false,0,1,spa_wellness_service_issue,treatment delay,process,3,false,0.74,true,5,0.511,0.467,6.4,room_upgrade,Upgrade,330,82,100,50,0,0,0.325,0.441,0.225,0.033,0.303,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.64,0.28,sample_seed_review_taxonomy_prior,0.22,0.045,0.277,false,0.32,sample_seed_local_demand_context,625,690,658,0.906,0.02,false,53,0.868,6,0.92,sample_seed_public_rate_shape,
case_00032,TKT000032,PMS000678,CRM000678,1.0,direct_pms_reservation_id,0.95,direct_crm_id,1.0,direct_ticket_id,returning_guest,event_or_wedding,800,3200,12400,0.497,0.2,2026-09-17,2026-09-20,direct,false,0,2,room_readiness_delay,arrival delay,outcome,4,false,0.93,true,5,0.874,0.559,5.6,late_checkout,Extended departure,105,21,555,555,0,0,0.99,1.0,0.783,0.885,0.738,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.7,0.033,0.545,false,0.32,sample_seed_local_demand_context,895,885,890,1.011,1.0,true,268,1.283,6,0.92,sample_seed_public_rate_shape,
case_00033,TKT000033,PMS000330,CRM000330,0.78,guest_key_date_window,0.95,direct_crm_id,1.0,direct_ticket_id,new_guest,business_traveler,730,3650,5000,0.336,0.2,2026-07-05,2026-07-07,direct,false,0,1,room_readiness_delay,arrival delay,outcome,3,true,0.88,false,5,0.6,0.518,0,lobby_lounge_credit,Bar credit,80,30,860,860,0,0,0.945,0.959,0.968,0.823,0.666,Santa Monica Proper Hotel,true,true,true,true,true,true,0.88,1.22,1.18,1.12,1.04,1.04,1.08,0.92,observed_public_property_context,0.74,0.28,sample_seed_review_taxonomy_prior,0.22,0.266,0.282,false,0.32,sample_seed_local_demand_context,775,740,745,1.047,0.613,false,166,1.129,6,0.92,sample_seed_public_rate_shape,severity_inferred;no_review_or_survey
