comparison_version,policy_id,policy_label,policy_strategy,selection_eligible,recovery_case_id,guest_tier,failure_category,severity,hotel_responsibility_score,reported_in_stay,occupancy_pressure,high_demand_rate_flag,high_local_demand_flag,reservation_match_confidence,crm_match_confidence,reference_recovery_need_score,reference_recovery_tier,recommendation_status,selected_comp_code,selected_comp_label,selected_guest_facing_value,internal_cost_low,internal_cost_mid,internal_cost_high,issue_fit_score,selected_min_tier_fit,selected_max_tier_fit,adequacy_evaluable,recovery_adequate,safe_recovery_path,high_risk_case,high_risk_under_recovery,operational_infeasible,operational_pressure_review,fit_uncertainty_review,property_aligned_gesture,direct_room_refund,manager_review_required,manager_review_evaluable,data_hold_case,data_hold_compliant,tier_five_review_compliant,evaluation_provenance
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00003,returning_guest,f_and_b_service_lapse,3,0.7,true,0.611,false,false,1.0,0.95,56.87,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00003,returning_guest,f_and_b_service_lapse,3,0.7,true,0.611,false,false,1.0,0.95,56.87,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00003,returning_guest,f_and_b_service_lapse,3,0.7,true,0.611,false,false,1.0,0.95,56.87,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00004,new_guest,valet_or_parking_delay,2,0.62,true,0.669,false,false,1.0,0.95,41.04,2,reference_action,spa_wellness_credit,Surya Spa or Recovery Suite credit,365,201,201,201,0.25,3,5,true,false,false,false,false,false,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00004,new_guest,valet_or_parking_delay,2,0.62,true,0.669,false,false,1.0,0.95,41.04,2,recommendation,parking_fee_waiver,parking or destination-fee waiver,75,6,14,26,0.9,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00004,new_guest,valet_or_parking_delay,2,0.62,true,0.669,false,false,1.0,0.95,41.04,2,recommendation,parking_fee_waiver,parking or destination-fee waiver,75,6,14,26,0.9,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00004,new_guest,valet_or_parking_delay,2,0.62,true,0.669,false,false,1.0,0.95,41.04,2,recommendation,parking_fee_waiver,parking or destination-fee waiver,75,6,14,26,0.9,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00004,new_guest,valet_or_parking_delay,2,0.62,true,0.669,false,false,1.0,0.95,41.04,2,recommendation,parking_fee_waiver,parking or destination-fee waiver,75,6,14,26,0.9,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00005,new_guest,housekeeping_miss,4,0.95,false,0.725,false,false,1.0,0.95,71.12,4,reference_action,room_upgrade,room upgrade,280,70,70,70,0.16,3,5,true,false,false,true,true,true,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00005,new_guest,housekeeping_miss,4,0.95,false,0.725,false,false,1.0,0.95,71.12,4,recommendation,amenity_gesture,in-room amenity gesture,65,16,29,42,0.8,1,3,true,false,false,true,true,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00005,new_guest,housekeeping_miss,4,0.95,false,0.725,false,false,1.0,0.95,71.12,4,recommendation,partial_room_refund,partial room refund,245,245,245,245,0.78,4,5,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00005,new_guest,housekeeping_miss,4,0.95,false,0.725,false,false,1.0,0.95,71.12,4,recommendation,future_stay_credit,future-stay credit,330,99,198,280,0.56,4,5,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00005,new_guest,housekeeping_miss,4,0.95,false,0.725,false,false,1.0,0.95,71.12,4,recommendation,future_stay_credit,future-stay credit,330,99,198,280,0.56,4,5,true,false,true,true,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00006,returning_guest,billing_or_fee_dispute,2,0.55,false,0.659,false,false,1.0,0.95,42.03,3,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00006,returning_guest,billing_or_fee_dispute,2,0.55,false,0.659,false,false,1.0,0.95,42.03,3,recommendation,manager_note,manager note and personal follow-up,0,0,0,0,0.72,1,3,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00006,returning_guest,billing_or_fee_dispute,2,0.55,false,0.659,false,false,1.0,0.95,42.03,3,recommendation,manager_note,manager note and personal follow-up,0,0,0,0,0.72,1,3,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00006,returning_guest,billing_or_fee_dispute,2,0.55,false,0.659,false,false,1.0,0.95,42.03,3,recommendation,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,82,151,206,0.25,3,5,true,false,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00006,returning_guest,billing_or_fee_dispute,2,0.55,false,0.659,false,false,1.0,0.95,42.03,3,recommendation,parking_fee_waiver,parking or destination-fee waiver,85,7,15,30,0.66,2,4,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00007,new_guest,room_readiness_delay,3,0.88,true,0.965,false,false,1.0,0.95,62.4,4,reference_action,amenity_gesture,in-room amenity gesture,65,29,29,29,0.7,1,3,true,false,false,true,true,false,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00007,new_guest,room_readiness_delay,3,0.88,true,0.965,false,false,1.0,0.95,62.4,4,recommendation,late_checkout,late checkout,100,8,20,45,0.9,2,4,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00007,new_guest,room_readiness_delay,3,0.88,true,0.965,false,false,1.0,0.95,62.4,4,recommendation,late_checkout,late checkout,100,8,20,45,0.9,2,4,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00007,new_guest,room_readiness_delay,3,0.88,true,0.965,false,false,1.0,0.95,62.4,4,recommendation,future_stay_credit,future-stay credit,345,104,207,293,0.7,4,5,true,true,true,true,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00007,new_guest,room_readiness_delay,3,0.88,true,0.965,false,false,1.0,0.95,62.4,4,recommendation,future_stay_credit,future-stay credit,345,104,207,293,0.7,4,5,true,true,true,true,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00008,new_guest,noise_disruption,3,0.48,false,0.728,false,false,1.0,0.95,51.01,3,reference_action,manager_note,manager note and personal follow-up,0,0,0,0,0.72,1,3,true,true,true,false,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00008,new_guest,noise_disruption,3,0.48,false,0.728,false,false,1.0,0.95,51.01,3,recommendation,amenity_gesture,in-room amenity gesture,55,14,25,36,0.78,1,3,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00008,new_guest,noise_disruption,3,0.48,false,0.728,false,false,1.0,0.95,51.01,3,recommendation,amenity_gesture,in-room amenity gesture,55,14,25,36,0.78,1,3,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00008,new_guest,noise_disruption,3,0.48,false,0.728,false,false,1.0,0.95,51.01,3,recommendation,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,82,151,206,0.62,3,5,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00008,new_guest,noise_disruption,3,0.48,false,0.728,false,false,1.0,0.95,51.01,3,recommendation,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,82,151,206,0.62,3,5,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00009,new_guest,rooftop_pool_access_issue,2,0.64,true,0.802,false,false,1.0,0.95,43.33,3,reference_action,rooftop_f_and_b_credit,Calabra or Palma dining credit,115,46,46,46,0.86,2,5,true,true,true,false,false,false,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00009,new_guest,rooftop_pool_access_issue,2,0.64,true,0.802,false,false,1.0,0.95,43.33,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.86,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00009,new_guest,rooftop_pool_access_issue,2,0.64,true,0.802,false,false,1.0,0.95,43.33,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.86,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00009,new_guest,rooftop_pool_access_issue,2,0.64,true,0.802,false,false,1.0,0.95,43.33,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.86,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00009,new_guest,rooftop_pool_access_issue,2,0.64,true,0.802,false,false,1.0,0.95,43.33,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.86,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00010,loyalty_guest,room_readiness_delay,1,0.88,true,0.567,true,false,1.0,0.95,42.96,3,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00010,loyalty_guest,room_readiness_delay,1,0.88,true,0.567,true,false,1.0,0.95,42.96,3,recommendation,late_checkout,late checkout,85,7,17,38,0.9,2,4,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00010,loyalty_guest,room_readiness_delay,1,0.88,true,0.567,true,false,1.0,0.95,42.96,3,recommendation,late_checkout,late checkout,85,7,17,38,0.9,2,4,true,true,true,false,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00010,loyalty_guest,room_readiness_delay,1,0.88,true,0.567,true,false,1.0,0.95,42.96,3,recommendation,room_upgrade,room upgrade,300,24,75,195,0.48,3,5,true,false,true,false,false,false,true,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00010,loyalty_guest,room_readiness_delay,1,0.88,true,0.567,true,false,1.0,0.95,42.96,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.72,2,5,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00011,new_guest,f_and_b_service_lapse,2,0.7,true,0.573,false,false,1.0,0.95,49.14,3,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00011,new_guest,f_and_b_service_lapse,2,0.7,true,0.573,false,false,1.0,0.95,49.14,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00011,new_guest,f_and_b_service_lapse,2,0.7,true,0.573,false,false,1.0,0.95,49.14,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00011,new_guest,f_and_b_service_lapse,2,0.7,true,0.573,false,false,1.0,0.95,49.14,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00011,new_guest,f_and_b_service_lapse,2,0.7,true,0.573,false,false,1.0,0.95,49.14,3,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,38,60,90,0.88,2,5,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00012,new_guest,noise_disruption,1,0.48,true,0.729,false,false,1.0,0.95,30.04,2,reference_action,amenity_gesture,in-room amenity gesture,65,29,29,29,0.78,1,3,true,true,true,false,false,false,false,false,true,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00012,new_guest,noise_disruption,1,0.48,true,0.729,false,false,1.0,0.95,30.04,2,recommendation,late_checkout,late checkout,75,6,15,34,0.82,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00012,new_guest,noise_disruption,1,0.48,true,0.729,false,false,1.0,0.95,30.04,2,recommendation,late_checkout,late checkout,75,6,15,34,0.82,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00012,new_guest,noise_disruption,1,0.48,true,0.729,false,false,1.0,0.95,30.04,2,recommendation,late_checkout,late checkout,75,6,15,34,0.82,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00012,new_guest,noise_disruption,1,0.48,true,0.729,false,false,1.0,0.95,30.04,2,recommendation,late_checkout,late checkout,75,6,15,34,0.82,2,4,true,true,true,false,false,false,false,false,true,false,false,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00013,new_guest,room_readiness_delay,3,0.88,true,0.546,true,false,1.0,0.95,59.93,4,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00013,new_guest,room_readiness_delay,3,0.88,true,0.546,true,false,1.0,0.95,59.93,4,recommendation,late_checkout,late checkout,100,8,20,45,0.9,2,4,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00013,new_guest,room_readiness_delay,3,0.88,true,0.546,true,false,1.0,0.95,59.93,4,recommendation,late_checkout,late checkout,100,8,20,45,0.9,2,4,true,true,true,true,false,false,true,false,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00013,new_guest,room_readiness_delay,3,0.88,true,0.546,true,false,1.0,0.95,59.93,4,recommendation,room_upgrade,room upgrade,360,29,90,234,0.48,3,5,true,false,true,true,false,false,true,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00013,new_guest,room_readiness_delay,3,0.88,true,0.546,true,false,1.0,0.95,59.93,4,recommendation,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,45,72,108,0.72,2,5,true,true,true,true,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00014,new_guest,billing_or_fee_dispute,2,0.55,false,0.869,false,false,1.0,0.95,43.25,3,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,false,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00014,new_guest,billing_or_fee_dispute,2,0.55,false,0.869,false,false,1.0,0.95,43.25,3,recommendation,manager_note,manager note and personal follow-up,0,0,0,0,0.72,1,3,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,cost_guardrail,Guardrailed recovery,lowest_cost_adequate,true,case_00014,new_guest,billing_or_fee_dispute,2,0.55,false,0.869,false,false,1.0,0.95,43.25,3,recommendation,manager_note,manager note and personal follow-up,0,0,0,0,0.72,1,3,true,true,true,false,false,false,false,true,false,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,recovery_first,Recovery first,highest_perceived_recovery,true,case_00014,new_guest,billing_or_fee_dispute,2,0.55,false,0.869,false,false,1.0,0.95,43.25,3,recommendation,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,82,151,206,0.25,3,5,true,false,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,intelligent_generosity,Intelligent generosity,context_aware_policy_engine,true,case_00014,new_guest,billing_or_fee_dispute,2,0.55,false,0.869,false,false,1.0,0.95,43.25,3,recommendation,parking_fee_waiver,parking or destination-fee waiver,85,7,15,30,0.66,2,4,true,true,true,false,false,false,false,true,true,false,true,true,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,synthetic_discretionary_baseline,Synthetic discretionary baseline,replay_synthetic_history,false,case_00015,returning_guest,room_assignment_expectation_gap,3,0.74,false,0.507,false,false,0.78,0.95,58.05,4,reference_unknown,no_matched_comp_record,No matched synthetic comp record,0,0,0,0,0.0,0,0,false,false,false,true,false,false,false,false,false,false,false,false,false,true,true,synthetic_case_policy_assumption
comp-policy-comparison-v1.0.0,tiered_standardization,Tiered standardization,highest_issue_fit,true,case_00015,returning_guest,room_assignment_expectation_gap,3,0.74,false,0.507,false,false,0.78,0.95,58.05,4,recommendation,partial_room_refund,partial room refund,150,150,150,150,0.75,4,5,true,true,true,true,false,false,false,false,false,true,false,true,false,true,true,synthetic_case_policy_assumption
