audit_id,recovery_case_id,service_ticket_id,pms_reservation_id,audit_class,audit_flags,recommended_action,guest_tier,traveler_segment,failure_category,severity,recovery_need_score,review_risk_score,stay_value,estimated_lifetime_value,public_rate_pressure_index,high_demand_rate_flag,target_public_rate,comp_set_median_rate,rate_context_confidence,pricing_provenance,actual_comp_codes_normalized,actual_comp_face_value,actual_comp_internal_cost,recommended_comp_code,recommended_comp_label,recommended_comp_value,recommended_internal_cost,recommended_internal_cost_low,recommended_internal_cost_high,recommended_minus_actual_value,internal_cost_delta,manager_review_flag,decision_confidence,recommendation_stability,policy_id,policy_version,reservation_match_confidence,crm_match_confidence,data_quality_flags,recommendation_reason_codes
audit_00011,case_00011,TKT000011,PMS001392,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,business_traveler,f_and_b_service_lapse,2,49.14,0.352,3200,6060,0.02,false,625,630,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,60,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00012,case_00012,TKT000012,PMS001069,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,business_traveler,noise_disruption,1,30.04,0.277,630,1010,0.652,false,785,710,0.92,sample_seed_public_rate_shape,amenity_gesture,65,29,late_checkout,late checkout,75,15,6,34,10,-14,false,high,0.926,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00013,case_00013,TKT000013,PMS000371,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,business_traveler,room_readiness_delay,3,59.93,0.487,5250,6400,0.81,true,825,745,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,180,72,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery
audit_00014,case_00014,TKT000014,PMS000290,data_quality_hold,severity_inferred;no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,family_beach_trip,billing_or_fee_dispute,2,43.25,0.37,2120,3816,0.553,false,760,710,0.92,sample_seed_public_rate_shape,,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,15,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,severity_inferred;ltv_imputed;no_review_or_survey;no_comp_record,high_perceived_value_lower_estimated_cost
audit_00015,case_00015,TKT000015,PMS001595,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,returning_guest,design_leisure,room_assignment_expectation_gap,3,58.05,0.501,1590,3470,0.356,false,710,665,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,180,72,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,0.78,0.95,no_review_or_survey;no_comp_record,hotel_responsible_failure;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery
audit_00016,case_00016,TKT000016,PMS001079,under_recovered,high_severity,Review upward variance between the matched synthetic action and context-engine recommendation.,returning_guest,business_traveler,room_assignment_expectation_gap,4,66.94,0.605,800,2940,0.356,false,710,695,0.92,sample_seed_public_rate_shape,late_checkout,85,17,future_stay_credit,future-stay credit,280,168,84,238,195,151,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;high_severity_issue
audit_00017,case_00017,TKT000017,PMS001299,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,wellness_getaway,f_and_b_service_lapse,2,43.54,0.375,610,1710,0.87,true,840,815,0.92,sample_seed_public_rate_shape,amenity_gesture,50,22,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,100,38,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00018,case_00018,TKT000018,PMS000841,aligned_recovery,high_severity,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,family_beach_trip,f_and_b_service_lapse,5,70.47,0.592,1280,4970,0.652,false,785,695,0.92,sample_seed_public_rate_shape,rooftop_f_and_b_credit,115,46,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,65,26,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00019,case_00019,TKT000019,PMS000355,aligned_recovery,high_severity,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,coastal_weekend,room_readiness_delay,4,67.98,0.622,1320,5470,0.652,false,785,745,0.92,sample_seed_public_rate_shape,room_upgrade,410,102,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,-230,-30,false,high,0.852,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;operational_pressure_changed_recovery;property_fit_changed_recovery
audit_00020,case_00020,TKT000020,PMS000239,data_quality_hold,no_historical_comp_record;high_severity,Resolve source matching or missing reference action before comparing policies.,vip_guest,coastal_weekend,room_assignment_expectation_gap,4,68.06,0.605,1640,12010,0.553,false,760,745,0.92,sample_seed_public_rate_shape,,0,0,room_upgrade,room upgrade,360,90,29,234,360,90,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey;no_comp_record,high_guest_relationship_value;hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00021,case_00021,TKT000021,PMS000794,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,coastal_weekend,valet_or_parking_delay,3,54.97,0.455,1500,3990,0.632,false,780,770,0.92,sample_seed_public_rate_shape,parking_fee_waiver,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,15,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00022,case_00022,TKT000022,PMS001399,data_quality_hold,severity_inferred;no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,returning_guest,business_traveler,room_assignment_expectation_gap,3,53.58,0.47,1160,2940,0.0,false,560,580,0.92,sample_seed_public_rate_shape,,0,0,room_upgrade,room upgrade,300,75,24,195,300,75,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,severity_inferred;no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00023,case_00023,TKT000023,PMS000336,data_quality_hold,no_historical_comp_record;high_severity,Resolve source matching or missing reference action before comparing policies.,new_guest,event_or_wedding,maintenance_issue,4,67.99,0.608,2160,4700,1.0,true,980,955,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,330,182,99,248,330,182,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey;no_comp_record,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery
audit_00024,case_00024,TKT000024,PMS000146,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,wellness_getaway,rooftop_pool_access_issue,2,44.29,0.416,1800,3710,0.534,false,755,690,0.92,sample_seed_public_rate_shape,manager_note,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,60,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,high_perceived_value_lower_estimated_cost
audit_00025,case_00025,TKT000025,PMS001547,data_quality_hold,no_historical_comp_record;high_severity,Resolve source matching or missing reference action before comparing policies.,event_or_suite_guest,wellness_getaway,housekeeping_miss,4,71.63,0.594,2160,16840,1.0,true,885,830,0.92,sample_seed_public_rate_shape,,0,0,future_stay_credit,future-stay credit,380,228,114,323,380,228,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_guest_relationship_value;hotel_responsible_failure;high_severity_issue;recoverable_before_checkout
audit_00026,case_00026,TKT000026,PMS000673,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,coastal_weekend,f_and_b_service_lapse,1,33.38,0.288,2010,2590,0.375,false,715,650,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,135,54,34,81,135,54,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00027,case_00027,TKT000027,PMS000156,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,event_or_wedding,housekeeping_miss,3,60.72,0.513,720,1280,0.04,false,630,650,0.92,sample_seed_public_rate_shape,rooftop_f_and_b_credit,170,68,future_stay_credit,future-stay credit,250,150,75,212,80,82,false,high,0.889,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure
audit_00028,case_00028,TKT000028,PMS001144,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,loyalty_guest,coastal_weekend,valet_or_parking_delay,3,56.72,0.52,2400,8450,0.375,false,715,700,0.92,sample_seed_public_rate_shape,,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,15,false,high,0.852,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_guest_relationship_value;high_perceived_value_lower_estimated_cost
audit_00029,case_00029,TKT000029,PMS000088,data_quality_hold,no_historical_comp_record;high_severity,Resolve source matching or missing reference action before comparing policies.,new_guest,family_beach_trip,room_assignment_expectation_gap,5,70.25,0.574,1440,2920,0.0,false,560,575,0.92,sample_seed_public_rate_shape,,0,0,room_upgrade,room upgrade,360,90,29,234,360,90,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00030,case_00030,TKT000030,PMS001522,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,design_leisure,maintenance_issue,3,53.74,0.449,1180,1440,0.593,true,770,835,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00031,case_00031,TKT000031,PMS001133,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,coastal_weekend,spa_wellness_service_issue,3,52.37,0.467,1440,2560,0.02,false,625,690,0.92,sample_seed_public_rate_shape,room_upgrade,330,82,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,-55,69,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00032,case_00032,TKT000032,PMS000678,aligned_recovery,high_severity,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,event_or_wedding,room_readiness_delay,4,69.82,0.559,3200,12400,1.0,true,895,885,0.92,sample_seed_public_rate_shape,late_checkout,105,21,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,75,51,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,hotel_responsible_failure;high_severity_issue;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery
audit_00033,case_00033,TKT000033,PMS000330,under_recovered,severity_inferred,Review upward variance between the matched synthetic action and context-engine recommendation.,new_guest,business_traveler,room_readiness_delay,3,60.79,0.518,3650,5000,0.613,false,775,740,0.92,sample_seed_public_rate_shape,lobby_lounge_credit,80,30,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,100,42,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,0.78,0.95,severity_inferred;no_review_or_survey,hotel_responsible_failure;high_perceived_value_lower_estimated_cost;property_fit_changed_recovery
audit_00034,case_00034,TKT000034,PMS000056,data_quality_hold,severity_inferred;no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,vip_guest,coastal_weekend,spa_wellness_service_issue,3,60.11,0.451,2850,23380,1.0,true,895,875,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,330,182,99,248,330,182,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,severity_inferred;no_comp_record,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00035,case_00035,TKT000035,PMS001310,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,loyalty_guest,family_beach_trip,f_and_b_service_lapse,3,55.02,0.392,820,4730,0.079,false,640,630,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,60,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_guest_relationship_value;hotel_responsible_failure;high_perceived_value_lower_estimated_cost
audit_00036,case_00036,TKT000036,PMS001548,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,local_staycation,maintenance_issue,3,54.0,0.504,680,1060,0.356,false,710,720,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey;no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00037,case_00037,TKT000037,PMS000857,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,loyalty_guest,coastal_weekend,housekeeping_miss,3,64.43,0.513,3900,14230,1.0,true,900,910,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,180,72,45,108,180,72,false,moderate,1.0,intelligent_generosity,smp-public-context-v1.0.0,0.78,0.95,no_review_or_survey;no_comp_record,high_guest_relationship_value;hotel_responsible_failure;high_perceived_value_lower_estimated_cost;public_rate_pressure_changed_recovery
audit_00038,case_00038,TKT000038,PMS001227,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,loyalty_guest,local_staycation,valet_or_parking_delay,3,54.66,0.411,3750,13480,0.692,false,795,735,0.92,sample_seed_public_rate_shape,parking_fee_waiver,0,0,parking_fee_waiver,parking or destination-fee waiver,85,15,7,30,85,15,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,high_guest_relationship_value;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00039,case_00039,TKT000039,PMS001137,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,local_staycation,housekeeping_miss,3,57.74,0.513,730,2690,0.85,true,835,840,0.92,sample_seed_public_rate_shape,rooftop_f_and_b_credit,160,64,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,-10,-4,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00040,case_00040,TKT000040,PMS000518,over_comped,,Review downward variance between the matched synthetic action and context-engine recommendation.,returning_guest,design_leisure,maintenance_issue,3,57.73,0.504,660,2660,0.474,false,740,715,0.92,sample_seed_public_rate_shape,room_upgrade,420,105,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,-145,46,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,hotel_responsible_failure;high_perceived_value_lower_estimated_cost
audit_00041,case_00041,TKT000041,PMS000488,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,returning_guest,local_staycation,noise_disruption,3,53.54,0.485,4620,18220,0.771,true,815,740,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey;no_comp_record,recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00042,case_00042,TKT000042,PMS001167,under_recovered,,Review upward variance between the matched synthetic action and context-engine recommendation.,loyalty_guest,wellness_getaway,room_assignment_expectation_gap,3,58.68,0.501,3240,15430,0.514,false,750,730,0.92,sample_seed_public_rate_shape,late_checkout,85,17,room_upgrade,room upgrade,360,90,29,234,275,73,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00043,case_00043,TKT000043,PMS001376,aligned_recovery,severity_inferred,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,event_or_suite_guest,coastal_weekend,f_and_b_service_lapse,2,53.84,0.48,3800,24230,0.138,false,655,630,0.92,sample_seed_public_rate_shape,rooftop_f_and_b_credit,130,52,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,20,8,false,moderate,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,severity_inferred,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00044,case_00044,TKT000044,PMS000570,under_recovered,high_severity,Review upward variance between the matched synthetic action and context-engine recommendation.,vip_guest,family_beach_trip,f_and_b_service_lapse,4,67.26,0.583,2260,16410,0.0,false,540,575,0.92,sample_seed_public_rate_shape,lobby_lounge_credit,95,36,future_stay_credit,future-stay credit,395,237,118,336,300,201,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_review_or_survey,high_guest_relationship_value;hotel_responsible_failure;high_severity_issue;recoverable_before_checkout
audit_00045,case_00045,TKT000045,PMS000126,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,new_guest,business_traveler,maintenance_issue,3,54.42,0.465,680,900,0.494,false,745,780,0.92,sample_seed_public_rate_shape,parking_fee_waiver,85,15,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,190,136,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00046,case_00046,TKT000046,PMS000705,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,vip_guest,event_or_wedding,f_and_b_service_lapse,2,45.9,0.328,960,5720,0.415,false,725,775,0.92,sample_seed_public_rate_shape,,0,0,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,150,60,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_guest_relationship_value;hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
audit_00047,case_00047,TKT000047,PMS000031,aligned_recovery,,Matched synthetic action and context-engine recommendation are within the diagnostic tolerance.,returning_guest,local_staycation,f_and_b_service_lapse,2,46.98,0.32,2160,6730,1.0,true,905,865,0.92,sample_seed_public_rate_shape,lobby_lounge_credit,85,32,rooftop_f_and_b_credit,Calabra or Palma dining credit,150,60,38,90,65,28,false,high,1.0,intelligent_generosity,smp-public-context-v1.0.0,0.78,0.95,,hotel_responsible_failure;high_perceived_value_lower_estimated_cost
audit_00048,case_00048,TKT000048,PMS000941,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,design_leisure,noise_disruption,3,51.27,0.55,980,2020,0.534,false,755,730,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,high_perceived_value_lower_estimated_cost
audit_00049,case_00049,TKT000049,PMS000528,data_quality_hold,weak_identity_or_reservation_match;severity_inferred;no_historical_comp_record;manager_review_model_flag;low_decision_confidence,Resolve source matching or missing reference action before comparing policies.,new_guest,business_traveler,maintenance_issue,3,55.82,0.504,2900,5920,0.257,false,685,650,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,true,low,1.0,intelligent_generosity,smp-public-context-v1.0.0,0.58,0.95,low_reservation_match_confidence;severity_inferred;no_review_or_survey;no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost;manager_review_required
audit_00050,case_00050,TKT000050,PMS000293,data_quality_hold,no_historical_comp_record,Resolve source matching or missing reference action before comparing policies.,new_guest,coastal_weekend,spa_wellness_service_issue,2,47.52,0.451,2520,2790,0.0,false,540,575,0.92,sample_seed_public_rate_shape,,0,0,spa_wellness_credit,Surya Spa or Recovery Suite credit,275,151,82,206,275,151,false,high,0.963,intelligent_generosity,smp-public-context-v1.0.0,1.0,0.95,no_comp_record,hotel_responsible_failure;recoverable_before_checkout;high_perceived_value_lower_estimated_cost
