sample_row_id,source_row_number,hotel,is_canceled,lead_time,arrival_date_year,arrival_date_month,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults,children,babies,meal,country,market_segment,distribution_channel,is_repeated_guest,previous_cancellations,previous_bookings_not_canceled,reserved_room_type,assigned_room_type,booking_changes,deposit_type,agent,company,days_in_waiting_list,customer_type,adr,required_car_parking_spaces,total_of_special_requests,reservation_status,reservation_status_date,stay_nights,room_type_mismatch
booking_sample_0029,3575,Resort Hotel,0,44,2015,December,52,24,0,3,2,0,0,HB,ESP,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,196,NULL,0,Transient,58,0,1,Check-Out,2015-12-27,3,false
booking_sample_0030,3582,Resort Hotel,0,79,2015,December,52,24,2,5,2,0,0,HB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,156,NULL,0,Transient,57.29,0,2,Check-Out,2015-12-31,7,false
booking_sample_0031,3636,Resort Hotel,0,90,2015,December,53,28,1,4,2,0,0,BB,FRA,Direct,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient,125.51,1,0,Check-Out,2016-01-02,5,false
booking_sample_0032,3658,Resort Hotel,1,165,2015,December,53,30,0,4,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,308,NULL,122,Transient-Party,0,0,0,Canceled,2015-12-21,4,false
booking_sample_0033,3919,Resort Hotel,1,72,2016,February,6,6,2,1,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,NULL,NULL,0,Transient-Party,73.33,0,0,Canceled,2016-01-19,3,false
booking_sample_0034,3944,Resort Hotel,1,103,2016,February,7,9,0,2,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,332,NULL,0,Transient-Party,50,0,0,Canceled,2016-01-16,2,false
booking_sample_0035,4008,Resort Hotel,0,112,2016,February,7,12,0,2,2,0,0,Undefined,ESP,Groups,TA/TO,0,0,0,A,A,0,No Deposit,134,NULL,0,Transient-Party,70,0,0,Check-Out,2016-02-14,2,false
booking_sample_0036,4350,Resort Hotel,1,49,2016,March,10,5,2,2,2,0,0,HB,PRT,Groups,Direct,0,0,0,E,E,0,No Deposit,NULL,NULL,0,Transient-Party,81,0,0,Canceled,2016-01-20,4,false
booking_sample_0037,4449,Resort Hotel,1,129,2016,March,12,18,2,7,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,102.33,0,0,Canceled,2015-12-29,9,false
booking_sample_0038,4589,Resort Hotel,1,57,2016,March,13,24,0,3,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,115,0,0,Canceled,2016-01-29,3,false
booking_sample_0039,4675,Resort Hotel,1,24,2016,March,14,27,2,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,2016-03-04,2,false
booking_sample_0040,4902,Resort Hotel,1,85,2016,April,15,7,0,3,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,67,NULL,0,Transient-Party,64,0,0,Canceled,2016-01-18,3,false
booking_sample_0041,4954,Resort Hotel,0,275,2016,April,16,10,2,5,2,0,0,HB,GBR,Groups,Direct,0,0,0,D,D,0,No Deposit,273,NULL,0,Transient-Party,74.45,0,0,Check-Out,2016-04-17,7,false
booking_sample_0042,4981,Resort Hotel,1,212,2016,April,16,11,2,5,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,Non Refund,273,NULL,0,Transient,76.05,0,0,Canceled,2015-10-16,7,false
booking_sample_0043,5185,Resort Hotel,1,32,2016,April,17,19,2,5,2,0,0,HB,PRT,Groups,Direct,0,0,0,D,D,0,No Deposit,273,NULL,0,Transient-Party,69.36,0,0,Canceled,2016-03-18,7,false
booking_sample_0044,5424,Resort Hotel,1,7,2016,April,18,29,0,2,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,E,E,0,No Deposit,NULL,154,0,Transient,23,0,0,Canceled,2016-04-22,2,false
booking_sample_0045,5425,Resort Hotel,1,65,2016,April,18,29,0,2,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,73,0,0,Canceled,2016-04-02,2,false
booking_sample_0046,5617,Resort Hotel,1,154,2016,May,19,5,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,175,NULL,0,Transient,52.56,0,0,Canceled,2016-01-22,14,false
booking_sample_0047,5801,Resort Hotel,0,211,2016,May,20,14,1,1,2,0,0,HB,DEU,Groups,TA/TO,0,0,0,A,A,0,No Deposit,298,NULL,0,Transient-Party,85,0,1,Check-Out,2016-05-16,2,false
booking_sample_0048,5850,Resort Hotel,1,9,2016,May,21,15,1,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315,NULL,0,Transient-Party,70,0,0,Canceled,2016-05-06,1,false
booking_sample_0049,5856,Resort Hotel,1,9,2016,May,21,15,1,0,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,315,NULL,0,Transient-Party,70,0,0,Canceled,2016-05-06,1,false
booking_sample_0050,6044,Resort Hotel,1,262,2016,May,22,22,2,3,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,52.2,0,1,Canceled,2016-05-06,5,false
booking_sample_0051,6093,Resort Hotel,1,69,2016,May,22,25,0,1,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,80.85,0,0,Canceled,2016-03-18,1,false
booking_sample_0052,6180,Resort Hotel,1,135,2016,May,22,27,0,2,2,0,0,BB,PRT,Direct,Direct,0,0,0,D,D,0,No Deposit,250,NULL,0,Transient,57.8,0,0,Canceled,2016-04-13,2,false
booking_sample_0053,6301,Resort Hotel,1,107,2016,June,23,1,2,7,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,80,0,2,Canceled,2016-02-19,9,false
booking_sample_0054,6368,Resort Hotel,1,256,2016,June,24,5,4,6,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,87,0,2,Canceled,2016-01-05,10,false
booking_sample_0055,6399,Resort Hotel,1,151,2016,June,24,7,4,10,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,85.5,0,1,Canceled,2016-01-12,14,false
booking_sample_0056,6418,Resort Hotel,0,141,2016,June,24,9,2,5,2,0,0,FB,POL,Offline TA/TO,TA/TO,0,0,0,A,A,0,No Deposit,315,NULL,0,Transient,105.56,0,0,Check-Out,2016-06-16,7,false
booking_sample_0057,6556,Resort Hotel,0,228,2016,June,25,17,2,5,2,2,0,BB,NLD,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,147,1,1,Check-Out,2016-06-24,7,false
booking_sample_0058,6589,Resort Hotel,1,5,2016,June,26,19,2,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,122.33,0,1,Canceled,2016-06-17,3,false
booking_sample_0059,6727,Resort Hotel,1,5,2016,June,27,27,1,0,2,0,0,BB,SWE,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,NULL,NULL,0,Transient,165,0,0,Canceled,2016-06-23,1,false
booking_sample_0060,6780,Resort Hotel,0,305,2016,July,27,1,4,10,2,0,0,BB,GBR,Offline TA/TO,TA/TO,0,0,0,A,A,1,No Deposit,40,NULL,0,Contract,59.8,0,0,Check-Out,2016-07-15,14,false
booking_sample_0061,6794,Resort Hotel,1,172,2016,July,27,2,2,5,2,2,0,BB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,174,0,0,Canceled,2016-06-22,7,false
booking_sample_0062,6910,Resort Hotel,1,7,2016,July,29,11,1,1,1,0,0,BB,PRT,Direct,Direct,0,0,0,A,A,0,No Deposit,9,NULL,0,Transient,126,0,0,Canceled,2016-07-05,2,false
booking_sample_0063,7370,Resort Hotel,1,105,2016,August,32,5,4,10,2,0,0,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,244,NULL,0,Transient,185,0,0,Canceled,2016-04-28,14,false
booking_sample_0064,7380,Resort Hotel,1,76,2016,August,32,6,2,4,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,202.33,0,0,Canceled,2016-06-19,6,false
booking_sample_0065,7499,Resort Hotel,1,21,2016,August,33,12,1,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,225.67,0,1,Canceled,2016-07-27,3,false
booking_sample_0066,7635,Resort Hotel,1,134,2016,August,34,17,2,4,3,0,0,HB,ESP,Online TA,TA/TO,0,0,0,A,A,1,No Deposit,240,NULL,0,Transient,274,0,0,Canceled,2016-06-30,6,false
booking_sample_0067,7757,Resort Hotel,1,0,2016,August,35,25,0,1,2,0,0,BB,ROU,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,194,0,0,Canceled,2016-08-25,1,false
booking_sample_0068,7822,Resort Hotel,1,23,2016,August,36,28,2,3,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,181.8,0,1,Canceled,2016-08-08,5,false
booking_sample_0069,8023,Resort Hotel,1,238,2016,September,37,7,0,3,1,0,0,BB,PRT,Groups,TA/TO,0,0,0,D,D,0,Non Refund,1,NULL,0,Transient,89,0,0,Canceled,2016-02-09,3,false
booking_sample_0070,8165,Resort Hotel,0,336,2016,September,38,15,0,3,2,0,0,BB,GBR,Groups,Direct,0,0,0,A,D,0,No Deposit,NULL,223,0,Transient-Party,74,0,0,Check-Out,2016-09-18,3,true
booking_sample_0071,8242,Resort Hotel,1,199,2016,September,39,19,1,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,158,0,0,Canceled,2016-05-10,6,false
booking_sample_0072,8348,Resort Hotel,1,27,2016,September,39,23,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,159,0,1,Canceled,2016-09-02,1,false
booking_sample_0073,8674,Resort Hotel,1,131,2016,October,42,9,2,0,2,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,0,No Deposit,NULL,NULL,0,Transient-Party,55,0,0,Canceled,2016-09-29,2,false
booking_sample_0074,8677,Resort Hotel,1,131,2016,October,42,9,2,1,2,0,0,BB,PRT,Groups,Corporate,0,0,0,A,A,1,No Deposit,NULL,NULL,0,Transient-Party,55,0,0,Canceled,2016-09-23,3,false
booking_sample_0075,9102,Resort Hotel,1,181,2016,October,44,27,2,5,2,0,0,BB,IRL,Online TA,TA/TO,0,0,0,D,D,6,No Deposit,240,NULL,0,Transient-Party,55.25,0,1,Canceled,2016-07-25,7,false
booking_sample_0076,9134,Resort Hotel,1,208,2016,October,44,28,2,7,2,0,0,BB,DEU,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,43,0,0,Canceled,2016-04-27,9,false
booking_sample_0077,9179,Resort Hotel,1,1,2016,November,45,1,0,1,1,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,75,0,0,No-Show,2016-11-01,1,false
booking_sample_0078,9281,Resort Hotel,1,32,2016,November,46,7,1,5,2,0,0,HB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,15,NULL,0,Transient,51.84,0,0,Canceled,2016-10-10,6,false
booking_sample_0079,9435,Resort Hotel,1,12,2016,November,49,27,1,0,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,F,F,0,No Deposit,241,NULL,0,Transient,49.75,0,0,Canceled,2016-11-15,1,false
booking_sample_0080,9456,Resort Hotel,1,16,2016,December,49,1,0,1,2,0,0,BB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,60,0,2,Canceled,2016-11-15,1,false
booking_sample_0081,9530,Resort Hotel,1,82,2016,December,50,7,0,4,2,0,0,FB,PRT,Offline TA/TO,TA/TO,0,0,0,E,E,0,No Deposit,6,NULL,0,Transient,86.4,0,0,Canceled,2016-11-02,4,false
booking_sample_0082,10052,Resort Hotel,1,43,2017,February,6,10,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,A,A,2,No Deposit,240,NULL,0,Transient,48,0,1,Canceled,2017-01-31,2,false
booking_sample_0083,10288,Resort Hotel,1,50,2017,February,8,24,2,2,2,2,0,HB,PRT,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,136,0,0,Canceled,2017-02-13,4,false
booking_sample_0084,10463,Resort Hotel,1,86,2017,March,10,9,0,3,2,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67,NULL,0,Transient,46,0,0,Canceled,2016-12-13,3,false
booking_sample_0085,10484,Resort Hotel,1,86,2017,March,10,9,0,3,2,0,0,Undefined,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,67,NULL,0,Transient,46,0,0,Canceled,2016-12-13,3,false
booking_sample_0086,10572,Resort Hotel,1,144,2017,March,11,14,4,14,1,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,No Deposit,440,NULL,0,Transient-Party,44,0,0,Canceled,2017-01-10,18,false
booking_sample_0087,10624,Resort Hotel,1,39,2017,March,12,24,0,2,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,80,0,1,Canceled,2017-03-13,2,false
booking_sample_0088,10895,Resort Hotel,1,124,2017,April,15,9,2,5,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,492,NULL,0,Transient,80,0,0,Canceled,2017-02-28,7,false
booking_sample_0089,11036,Resort Hotel,1,73,2017,April,15,15,2,1,2,1,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,241,NULL,0,Transient,82.49,0,0,Canceled,2017-02-01,3,false
booking_sample_0090,11109,Resort Hotel,1,26,2017,April,16,20,0,1,2,0,0,BB,ESP,Online TA,TA/TO,0,0,0,E,E,0,No Deposit,240,NULL,0,Transient,115,0,1,Canceled,2017-03-25,1,false
booking_sample_0091,11474,Resort Hotel,1,296,2017,May,19,10,0,1,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,67.5,0,2,Canceled,2016-07-20,1,false
booking_sample_0092,11494,Resort Hotel,1,24,2017,May,19,11,2,3,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,130,0,2,Canceled,2017-04-17,5,false
booking_sample_0093,11675,Resort Hotel,1,462,2017,May,21,25,0,3,2,0,0,HB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,78,0,0,Canceled,2016-06-07,3,false
booking_sample_0094,11738,Resort Hotel,1,353,2017,May,21,27,2,5,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,73.41,0,1,Canceled,2016-09-02,7,false
booking_sample_0095,11792,Resort Hotel,1,289,2017,May,22,30,0,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,80.1,0,1,Canceled,2017-03-08,3,false
booking_sample_0096,11815,Resort Hotel,1,411,2017,May,22,31,2,4,2,0,0,BB,PRT,Groups,TA/TO,0,0,0,A,A,0,Non Refund,NULL,NULL,0,Transient,71.1,0,0,Canceled,2016-04-15,6,false
booking_sample_0097,11990,Resort Hotel,1,156,2017,June,23,7,2,4,2,2,0,BB,DEU,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,180,0,0,Canceled,2017-01-02,6,false
booking_sample_0098,12029,Resort Hotel,1,23,2017,June,23,9,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,4,No Deposit,242,NULL,0,Transient,140,0,1,No-Show,2017-06-09,6,false
booking_sample_0099,12226,Resort Hotel,1,57,2017,June,25,18,2,5,1,1,0,HB,GBR,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,248,0,1,Canceled,2017-04-25,7,false
booking_sample_0100,12291,Resort Hotel,1,153,2017,June,25,22,1,3,3,0,0,BB,PRT,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,241,NULL,0,Transient,123.97,0,1,Canceled,2017-01-23,4,false
booking_sample_0101,12293,Resort Hotel,1,332,2017,June,25,22,1,3,2,0,0,BB,GBR,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,88.2,0,0,Canceled,2016-10-15,4,false
booking_sample_0102,12304,Resort Hotel,1,55,2017,June,25,23,2,3,1,0,0,HB,CHE,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,172.8,0,1,Canceled,2017-04-29,5,false
booking_sample_0103,12331,Resort Hotel,1,273,2017,June,25,24,2,6,2,0,0,BB,FRA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,242,NULL,0,Transient,81.76,0,1,Canceled,2017-04-20,8,false
booking_sample_0104,12336,Resort Hotel,1,243,2017,June,25,24,4,10,2,0,0,HB,ITA,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,126,0,0,Canceled,2016-11-24,14,false
booking_sample_0105,12352,Resort Hotel,1,311,2017,June,26,25,2,5,2,2,0,BB,IRL,Online TA,TA/TO,0,0,0,G,G,0,No Deposit,240,NULL,0,Transient,151.14,0,2,Canceled,2016-08-20,7,false
booking_sample_0106,12399,Resort Hotel,1,48,2017,June,26,26,3,7,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,D,D,0,No Deposit,531,NULL,0,Transient,76,0,0,Canceled,2017-05-12,10,false
booking_sample_0107,12494,Resort Hotel,1,141,2017,July,26,1,4,7,2,0,0,BB,BRA,Online TA,TA/TO,0,0,0,D,D,0,No Deposit,240,NULL,0,Transient,136.82,0,1,Canceled,2017-02-18,11,false
booking_sample_0108,12558,Resort Hotel,1,131,2017,July,27,4,2,5,3,1,0,BB,PRT,Online TA,TA/TO,0,0,0,H,H,0,No Deposit,240,NULL,0,Transient,223.57,0,0,Canceled,2017-03-03,7,false
booking_sample_0109,12683,Resort Hotel,1,151,2017,July,28,11,2,5,2,2,0,HB,ITA,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,230.86,0,0,Canceled,2017-02-11,7,false
booking_sample_0110,13162,Resort Hotel,1,28,2017,August,31,3,0,2,2,0,0,BB,PHL,Online TA,TA/TO,0,0,0,A,A,3,No Deposit,240,NULL,0,Transient,205,0,1,Canceled,2017-08-01,2,false
booking_sample_0111,13233,Resort Hotel,1,328,2017,August,31,5,2,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,240,NULL,0,Transient,153.75,0,0,Canceled,2016-09-11,6,false
booking_sample_0112,13401,Resort Hotel,1,291,2017,August,33,13,4,6,2,0,1,BB,PRT,Offline TA/TO,TA/TO,0,0,0,D,D,0,No Deposit,40,NULL,0,Contract,117.3,0,1,Canceled,2017-01-06,10,false
booking_sample_0113,13460,Resort Hotel,1,61,2017,August,33,16,0,4,2,0,0,BB,PRT,Online TA,TA/TO,0,0,0,A,A,0,No Deposit,314,NULL,0,Group,188.6,0,0,Canceled,2017-06-16,4,false
booking_sample_0114,13662,Resort Hotel,1,72,2017,August,34,25,2,2,2,2,0,BB,ESP,Online TA,TA/TO,0,0,0,C,C,0,No Deposit,240,NULL,0,Transient,260,0,2,Canceled,2017-07-19,4,false
booking_sample_0115,13834,Resort Hotel,0,5,2017,April,16,18,0,1,1,0,0,BB,PRT,Corporate,Corporate,0,0,2,A,D,0,No Deposit,NULL,528,0,Transient,48.5,1,0,Check-Out,2017-04-19,1,true
booking_sample_0116,13868,Resort Hotel,0,5,2016,February,9,23,0,2,1,0,0,BB,PRT,Corporate,Corporate,0,0,2,A,D,1,No Deposit,NULL,120,0,Transient,46,1,0,Check-Out,2016-02-25,2,true
booking_sample_0117,14058,Resort Hotel,0,0,2016,October,44,24,1,1,1,0,0,BB,NULL,Direct,Direct,0,0,1,A,A,0,No Deposit,NULL,NULL,0,Transient,61,1,1,Check-Out,2016-10-26,2,false
booking_sample_0118,14061,Resort Hotel,0,0,2016,December,51,14,0,1,2,0,0,BB,PRT,Corporate,Corporate,0,0,0,A,D,0,No Deposit,16,NULL,0,Transient,39,0,0,Check-Out,2016-12-15,1,true
