pos_charge_id,pms_reservation_id,guest_lookup_key,outlet,charge_amount,charge_timestamp,void_or_adjustment_flag
POS0000121,PMS000056,guest_key_00056,spa_wellness,560,2026-05-28,false
POS0000122,PMS000056,guest_key_00056,valet_parking,20,2026-05-29,false
POS0000123,PMS000057,guest_key_00057,calabra_rooftop,215,2026-08-13,false
POS0000124,PMS000058,guest_key_00058,calabra_rooftop,95,2026-11-17,false
POS0000125,PMS000058,guest_key_00058,calabra_rooftop,350,2026-11-19,false
POS0000126,PMS000058,guest_key_00058,in_room_dining,145,2026-11-18,false
POS0000127,PMS000058,guest_key_00058,spa_wellness,470,2026-11-19,false
POS0000128,PMS000060,guest_key_00060,calabra_rooftop,295,2026-03-08,false
POS0000129,PMS000060,guest_key_00060,calabra_rooftop,655,2026-03-06,false
POS0000130,PMS000060,guest_key_00060,calabra_rooftop,185,2026-03-08,false
POS0000131,PMS000061,guest_key_00061,calabra_rooftop,160,2026-12-04,false
POS0000132,PMS000061,guest_key_00061,calabra_rooftop,355,2026-12-04,false
POS0000133,PMS000061,guest_key_00061,calabra_rooftop,900,2026-12-04,false
POS0000134,PMS000062,guest_key_00062,calabra_rooftop,210,2026-07-08,false
POS0000135,PMS000062,guest_key_00062,spa_wellness,295,2026-07-09,false
POS0000136,PMS000062,guest_key_00062,calabra_rooftop,190,2026-07-09,false
POS0000137,PMS000063,guest_key_00063,calabra_rooftop,210,2026-04-06,false
POS0000138,PMS000064,guest_key_00064,calabra_rooftop,180,2026-03-24,false
POS0000139,,guest_key_00064,mini_bar_amenity,35,2026-03-24,false
POS0000140,PMS000064,,in_room_dining,120,2026-03-24,false
POS0000141,PMS000065,guest_key_00065,valet_parking,65,2026-08-18,false
POS0000142,PMS000065,guest_key_00065,calabra_rooftop,215,2026-08-16,false
POS0000143,PMS000066,guest_key_00066,calabra_rooftop,95,2026-08-02,false
POS0000144,PMS000066,guest_key_00066,palma_lobby_lounge,90,2026-08-02,false
POS0000145,PMS000066,guest_key_00066,valet_parking,65,2026-08-02,false
POS0000146,PMS000067,guest_key_00067,mini_bar_amenity,30,2026-06-04,false
POS0000147,PMS000067,guest_key_00067,mini_bar_amenity,125,2026-06-06,false
POS0000148,PMS000068,guest_key_00068,palma_lobby_lounge,110,2026-12-09,false
POS0000149,PMS000071,guest_key_00071,in_room_dining,115,2026-05-22,false
POS0000150,PMS000072,,spa_wellness,445,2026-02-26,false
POS0000151,PMS000072,guest_key_00072,spa_wellness,290,2026-02-26,false
POS0000152,PMS000072,guest_key_00072,palma_lobby_lounge,120,2026-02-26,false
POS0000153,PMS000072,guest_key_00072,calabra_rooftop,255,2026-02-26,true
POS0000154,PMS000073,guest_key_00073,valet_parking,105,2026-08-02,false
POS0000155,PMS000073,guest_key_00073,mini_bar_amenity,20,2026-07-31,false
POS0000156,PMS000073,guest_key_00073,in_room_dining,145,2026-08-05,false
POS0000157,PMS000073,guest_key_00073,calabra_rooftop,340,2026-07-30,false
POS0000158,PMS000074,guest_key_00074,spa_wellness,560,2026-09-07,false
POS0000159,PMS000074,guest_key_00074,calabra_rooftop,200,2026-09-06,false
POS0000160,PMS000074,,palma_lobby_lounge,20,2026-09-07,false
POS0000161,PMS000074,guest_key_00074,calabra_rooftop,90,2026-09-06,false
POS0000162,PMS000076,guest_key_00076,spa_wellness,275,2026-12-26,false
POS0000163,,guest_key_00076,in_room_dining,80,2026-12-26,false
POS0000164,PMS000076,guest_key_00076,spa_wellness,375,2026-12-27,false
POS0000165,PMS000077,guest_key_00077,in_room_dining,125,2026-10-14,false
POS0000166,PMS000077,guest_key_00077,mini_bar_amenity,80,2026-10-18,true
POS0000167,PMS000077,guest_key_00077,palma_lobby_lounge,70,2026-10-13,false
POS0000168,PMS000078,guest_key_00078,palma_lobby_lounge,50,2026-11-26,false
POS0000169,PMS000078,guest_key_00078,calabra_rooftop,130,2026-11-25,false
POS0000170,PMS000079,guest_key_00079,palma_lobby_lounge,55,2026-08-14,false
POS0000171,PMS000081,,spa_wellness,290,2026-08-01,false
POS0000172,PMS000081,guest_key_00081,spa_wellness,215,2026-08-01,true
POS0000173,PMS000081,guest_key_00081,spa_wellness,240,2026-08-01,false
POS0000174,PMS000081,guest_key_00081,palma_lobby_lounge,355,2026-08-01,false
POS0000175,PMS000082,guest_key_00082,palma_lobby_lounge,120,2026-07-29,false
POS0000176,PMS000083,,spa_wellness,235,2026-09-16,false
POS0000177,PMS000083,guest_key_00083,calabra_rooftop,150,2026-09-16,false
POS0000178,PMS000083,guest_key_00083,palma_lobby_lounge,185,2026-09-16,false
POS0000179,PMS000083,guest_key_00083,spa_wellness,120,2026-09-16,false
POS0000180,PMS000084,guest_key_00084,calabra_rooftop,135,2026-01-28,false
POS0000181,PMS000085,guest_key_00085,palma_lobby_lounge,50,2026-05-23,false
POS0000182,PMS000085,guest_key_00085,calabra_rooftop,290,2026-05-22,false
POS0000183,PMS000085,guest_key_00085,calabra_rooftop,160,2026-05-22,false
POS0000184,PMS000086,guest_key_00086,calabra_rooftop,320,2026-02-10,false
POS0000185,PMS000086,guest_key_00086,in_room_dining,80,2026-02-07,false
POS0000186,PMS000088,guest_key_00088,mini_bar_amenity,20,2026-02-11,false
POS0000187,PMS000088,guest_key_00088,calabra_rooftop,180,2026-02-12,false
POS0000188,PMS000089,guest_key_00089,calabra_rooftop,165,2026-07-23,false
POS0000189,PMS000089,guest_key_00089,in_room_dining,185,2026-07-24,false
POS0000190,PMS000089,guest_key_00089,in_room_dining,65,2026-07-24,false
POS0000191,PMS000090,,calabra_rooftop,135,2026-10-09,false
POS0000192,PMS000090,guest_key_00090,valet_parking,55,2026-10-09,false
POS0000193,PMS000090,guest_key_00090,valet_parking,35,2026-10-09,false
POS0000194,PMS000090,guest_key_00090,in_room_dining,60,2026-10-09,false
POS0000195,PMS000091,,calabra_rooftop,250,2026-12-24,false
POS0000196,PMS000091,guest_key_00091,palma_lobby_lounge,75,2026-12-25,false
POS0000197,PMS000091,guest_key_00091,in_room_dining,125,2026-12-25,false
POS0000198,PMS000091,guest_key_00091,in_room_dining,110,2026-12-25,false
POS0000199,PMS000092,guest_key_00092,spa_wellness,225,2026-01-25,true
POS0000200,PMS000092,guest_key_00092,in_room_dining,330,2026-01-24,false
POS0000201,PMS000092,guest_key_00092,calabra_rooftop,240,2026-01-25,false
POS0000202,PMS000093,guest_key_00093,palma_lobby_lounge,95,2026-08-13,false
POS0000203,PMS000093,guest_key_00093,in_room_dining,95,2026-08-13,false
POS0000204,PMS000094,guest_key_00094,calabra_rooftop,135,2026-01-19,false
POS0000205,PMS000094,guest_key_00094,calabra_rooftop,530,2026-01-19,false
POS0000206,PMS000096,guest_key_00096,calabra_rooftop,105,2026-08-20,false
POS0000207,PMS000096,guest_key_00096,spa_wellness,685,2026-08-20,false
POS0000208,PMS000096,guest_key_00096,in_room_dining,145,2026-08-21,false
POS0000209,PMS000096,guest_key_00096,in_room_dining,170,2026-08-20,false
POS0000210,PMS000097,guest_key_00097,spa_wellness,525,2026-02-06,false
POS0000211,PMS000098,guest_key_00098,in_room_dining,70,2026-07-25,true
POS0000212,PMS000098,guest_key_00098,calabra_rooftop,50,2026-07-24,false
POS0000213,PMS000099,guest_key_00099,spa_wellness,115,2026-09-17,false
POS0000214,PMS000099,,calabra_rooftop,300,2026-09-17,false
POS0000215,PMS000099,guest_key_00099,palma_lobby_lounge,85,2026-09-19,false
POS0000216,PMS000100,guest_key_00100,mini_bar_amenity,25,2026-01-20,false
POS0000217,PMS000101,guest_key_00101,calabra_rooftop,190,2026-12-27,false
POS0000218,PMS000101,guest_key_00101,calabra_rooftop,415,2026-12-26,true
POS0000219,PMS000101,guest_key_00101,calabra_rooftop,115,2026-12-28,false
POS0000220,PMS000101,guest_key_00101,valet_parking,55,2026-12-26,false
POS0000221,PMS000102,guest_key_00102,calabra_rooftop,265,2026-05-08,false
POS0000222,PMS000103,guest_key_00103,calabra_rooftop,145,2026-08-06,false
POS0000223,PMS000104,guest_key_00104,in_room_dining,75,2026-02-01,false
POS0000224,PMS000104,guest_key_00104,valet_parking,125,2026-02-01,false
POS0000225,,guest_key_00104,calabra_rooftop,180,2026-02-01,false
POS0000226,PMS000104,guest_key_00104,valet_parking,50,2026-02-01,false
POS0000227,PMS000106,guest_key_00106,palma_lobby_lounge,165,2026-05-15,false
POS0000228,PMS000107,guest_key_00107,in_room_dining,155,2026-11-27,false
POS0000229,PMS000107,guest_key_00107,in_room_dining,100,2026-11-29,false
POS0000230,PMS000107,guest_key_00107,palma_lobby_lounge,115,2026-11-29,false
POS0000231,PMS000108,guest_key_00108,spa_wellness,265,2026-12-16,false
POS0000232,PMS000109,guest_key_00109,calabra_rooftop,650,2026-06-26,false
POS0000233,PMS000110,guest_key_00110,mini_bar_amenity,30,2026-04-13,false
POS0000234,PMS000110,guest_key_00110,palma_lobby_lounge,190,2026-04-12,false
POS0000235,PMS000111,guest_key_00111,palma_lobby_lounge,130,2026-04-06,false
POS0000236,PMS000111,guest_key_00111,spa_wellness,660,2026-04-07,false
POS0000237,PMS000111,guest_key_00111,calabra_rooftop,100,2026-04-06,false
POS0000238,PMS000112,guest_key_00112,calabra_rooftop,185,2027-01-03,false
POS0000239,PMS000113,guest_key_00113,palma_lobby_lounge,150,2026-12-13,false
POS0000240,PMS000113,guest_key_00113,calabra_rooftop,390,2026-12-11,false
POS0000241,PMS000113,guest_key_00113,valet_parking,50,2026-12-15,false
POS0000242,PMS000113,guest_key_00113,palma_lobby_lounge,55,2026-12-15,false
POS0000243,PMS000114,guest_key_00114,mini_bar_amenity,60,2026-11-19,false
POS0000244,PMS000115,guest_key_00115,palma_lobby_lounge,125,2026-11-06,false
POS0000245,PMS000115,guest_key_00115,spa_wellness,70,2026-11-05,false
POS0000246,PMS000115,guest_key_00115,valet_parking,495,2026-11-06,false
POS0000247,PMS000116,guest_key_00116,calabra_rooftop,460,2026-06-02,false
POS0000248,PMS000117,guest_key_00117,spa_wellness,900,2026-02-15,false
POS0000249,,guest_key_00117,calabra_rooftop,145,2026-02-13,false
POS0000250,PMS000117,guest_key_00117,palma_lobby_lounge,120,2026-02-14,false
POS0000251,PMS000118,guest_key_00118,valet_parking,150,2026-06-27,false
POS0000252,PMS000118,guest_key_00118,calabra_rooftop,160,2026-06-29,true
POS0000253,PMS000118,guest_key_00118,valet_parking,65,2026-06-29,false
POS0000254,PMS000119,guest_key_00119,palma_lobby_lounge,285,2026-07-27,true
POS0000255,PMS000119,guest_key_00119,in_room_dining,150,2026-07-25,false
POS0000256,PMS000119,guest_key_00119,calabra_rooftop,95,2026-07-25,false
POS0000257,PMS000122,guest_key_00122,calabra_rooftop,130,2026-06-29,false
POS0000258,PMS000124,guest_key_00124,spa_wellness,105,2026-04-29,false
POS0000259,PMS000125,guest_key_00125,mini_bar_amenity,30,2026-01-11,false
POS0000260,PMS000125,guest_key_00125,calabra_rooftop,115,2026-01-12,false
POS0000261,PMS000125,guest_key_00125,calabra_rooftop,240,2026-01-12,false
POS0000262,PMS000125,guest_key_00125,calabra_rooftop,95,2026-01-12,false
POS0000263,PMS000127,guest_key_00127,in_room_dining,145,2026-12-26,false
POS0000264,PMS000128,guest_key_00128,calabra_rooftop,200,2026-10-05,false
POS0000265,PMS000128,guest_key_00128,palma_lobby_lounge,70,2026-10-05,false
POS0000266,PMS000129,guest_key_00129,calabra_rooftop,460,2026-11-09,false
POS0000267,,guest_key_00129,mini_bar_amenity,20,2026-11-10,false
POS0000268,PMS000129,guest_key_00129,palma_lobby_lounge,90,2026-11-10,false
POS0000269,PMS000130,guest_key_00130,calabra_rooftop,155,2026-12-05,false
POS0000270,PMS000130,guest_key_00130,calabra_rooftop,190,2026-12-05,false
POS0000271,PMS000132,guest_key_00132,calabra_rooftop,165,2026-04-27,false
POS0000272,PMS000133,guest_key_00133,calabra_rooftop,290,2026-12-25,false
POS0000273,,guest_key_00133,spa_wellness,160,2026-12-24,false
POS0000274,PMS000133,guest_key_00133,calabra_rooftop,685,2026-12-24,false
POS0000275,PMS000133,guest_key_00133,palma_lobby_lounge,60,2026-12-24,false
POS0000276,PMS000134,guest_key_00134,valet_parking,130,2026-11-28,false
POS0000277,PMS000134,,palma_lobby_lounge,65,2026-11-29,false
POS0000278,PMS000134,guest_key_00134,mini_bar_amenity,85,2026-11-29,false
POS0000279,PMS000135,guest_key_00135,calabra_rooftop,90,2026-12-01,false
POS0000280,PMS000136,guest_key_00136,valet_parking,85,2026-09-07,false
POS0000281,PMS000136,guest_key_00136,palma_lobby_lounge,45,2026-09-09,false
POS0000282,PMS000136,guest_key_00136,calabra_rooftop,195,2026-09-09,true
POS0000283,PMS000136,,calabra_rooftop,110,2026-09-07,false
POS0000284,PMS000137,,palma_lobby_lounge,130,2026-08-06,false
POS0000285,PMS000137,guest_key_00137,spa_wellness,260,2026-08-06,false
POS0000286,PMS000137,,calabra_rooftop,185,2026-08-07,false
POS0000287,PMS000137,guest_key_00137,calabra_rooftop,155,2026-08-05,true
POS0000288,PMS000138,guest_key_00138,valet_parking,40,2026-07-21,true
POS0000289,PMS000139,,mini_bar_amenity,40,2026-08-05,false
POS0000290,PMS000139,guest_key_00139,calabra_rooftop,185,2026-08-05,true
POS0000291,PMS000139,guest_key_00139,calabra_rooftop,465,2026-08-05,false
POS0000292,PMS000139,guest_key_00139,palma_lobby_lounge,135,2026-08-05,false
POS0000293,PMS000140,guest_key_00140,calabra_rooftop,210,2026-04-12,false
POS0000294,PMS000140,guest_key_00140,palma_lobby_lounge,60,2026-04-18,false
POS0000295,PMS000140,guest_key_00140,calabra_rooftop,95,2026-04-14,false
POS0000296,PMS000142,guest_key_00142,in_room_dining,80,2026-04-26,false
POS0000297,PMS000142,guest_key_00142,palma_lobby_lounge,105,2026-04-27,false
POS0000298,PMS000142,guest_key_00142,valet_parking,65,2026-04-26,false
POS0000299,PMS000143,guest_key_00143,mini_bar_amenity,65,2026-06-17,true
POS0000300,PMS000143,guest_key_00143,calabra_rooftop,160,2026-06-16,false
POS0000301,PMS000143,guest_key_00143,calabra_rooftop,205,2026-06-15,false
POS0000302,PMS000144,guest_key_00144,palma_lobby_lounge,150,2026-07-14,false
POS0000303,PMS000144,guest_key_00144,calabra_rooftop,150,2026-07-14,false
POS0000304,PMS000145,guest_key_00145,palma_lobby_lounge,45,2026-07-29,false
POS0000305,PMS000145,,in_room_dining,70,2026-07-29,false
POS0000306,PMS000145,guest_key_00145,in_room_dining,145,2026-07-29,false
POS0000307,PMS000145,guest_key_00145,calabra_rooftop,130,2026-07-29,false
POS0000308,PMS000146,guest_key_00146,spa_wellness,260,2026-01-29,false
POS0000309,PMS000146,guest_key_00146,palma_lobby_lounge,70,2026-01-30,false
POS0000310,PMS000146,guest_key_00146,valet_parking,100,2026-01-28,false
POS0000311,PMS000146,guest_key_00146,spa_wellness,555,2026-01-30,false
POS0000312,PMS000147,guest_key_00147,spa_wellness,170,2026-12-05,false
POS0000313,PMS000148,guest_key_00148,spa_wellness,775,2026-03-18,true
POS0000314,PMS000149,guest_key_00149,palma_lobby_lounge,75,2026-05-11,false
POS0000315,PMS000149,guest_key_00149,calabra_rooftop,115,2026-05-08,false
POS0000316,PMS000149,guest_key_00149,in_room_dining,60,2026-05-08,false
POS0000317,PMS000149,guest_key_00149,in_room_dining,515,2026-05-09,false
POS0000318,PMS000150,guest_key_00150,palma_lobby_lounge,40,2026-05-05,false
POS0000319,PMS000150,guest_key_00150,calabra_rooftop,130,2026-05-04,false
POS0000320,PMS000151,guest_key_00151,spa_wellness,55,2026-06-28,false
POS0000321,PMS000151,,calabra_rooftop,90,2026-06-23,false
POS0000322,PMS000151,guest_key_00151,valet_parking,105,2026-06-23,true
POS0000323,PMS000153,guest_key_00153,in_room_dining,290,2026-11-18,false
POS0000324,PMS000153,,calabra_rooftop,160,2026-11-19,false
POS0000325,PMS000155,guest_key_00155,calabra_rooftop,75,2026-02-03,false
POS0000326,PMS000156,guest_key_00156,palma_lobby_lounge,70,2026-02-11,false
POS0000327,PMS000156,guest_key_00156,valet_parking,65,2026-02-11,false
POS0000328,PMS000156,guest_key_00156,calabra_rooftop,225,2026-02-11,false
POS0000329,PMS000156,guest_key_00156,calabra_rooftop,90,2026-02-11,false
POS0000330,PMS000158,guest_key_00158,calabra_rooftop,235,2026-06-02,false
POS0000331,PMS000158,guest_key_00158,valet_parking,35,2026-06-02,false
POS0000332,PMS000159,guest_key_00159,calabra_rooftop,135,2026-08-06,false
POS0000333,PMS000159,guest_key_00159,palma_lobby_lounge,70,2026-08-06,false
POS0000334,PMS000159,guest_key_00159,valet_parking,145,2026-08-07,false
POS0000335,PMS000160,guest_key_00160,calabra_rooftop,120,2026-11-02,false
POS0000336,PMS000160,guest_key_00160,in_room_dining,405,2026-11-02,false
POS0000337,,guest_key_00161,palma_lobby_lounge,145,2026-07-02,false
POS0000338,PMS000162,guest_key_00162,calabra_rooftop,210,2026-06-12,false
POS0000339,PMS000162,guest_key_00162,in_room_dining,80,2026-06-12,false
POS0000340,PMS000163,guest_key_00163,spa_wellness,125,2026-10-30,false
POS0000341,PMS000164,guest_key_00164,in_room_dining,145,2026-02-20,false
POS0000342,PMS000164,guest_key_00164,palma_lobby_lounge,50,2026-02-20,false
POS0000343,,guest_key_00164,calabra_rooftop,170,2026-02-19,false
POS0000344,PMS000165,guest_key_00165,spa_wellness,95,2026-03-19,false
POS0000345,PMS000165,guest_key_00165,palma_lobby_lounge,70,2026-03-19,false
POS0000346,PMS000168,guest_key_00168,in_room_dining,300,2026-12-21,false
POS0000347,PMS000169,guest_key_00169,palma_lobby_lounge,105,2026-06-03,false
POS0000348,PMS000169,,in_room_dining,50,2026-06-03,false
POS0000349,PMS000169,guest_key_00169,palma_lobby_lounge,140,2026-06-03,false
POS0000350,PMS000170,guest_key_00170,calabra_rooftop,100,2026-03-31,false
POS0000351,PMS000170,guest_key_00170,palma_lobby_lounge,80,2026-04-01,false
POS0000352,PMS000170,guest_key_00170,spa_wellness,150,2026-04-01,false
POS0000353,PMS000171,guest_key_00171,calabra_rooftop,415,2026-12-26,false
POS0000354,PMS000171,guest_key_00171,spa_wellness,550,2026-12-27,false
POS0000355,PMS000172,guest_key_00172,calabra_rooftop,175,2026-07-14,false
POS0000356,,guest_key_00172,spa_wellness,155,2026-07-14,false
POS0000357,PMS000174,guest_key_00174,calabra_rooftop,75,2026-05-21,false
POS0000358,PMS000175,guest_key_00175,spa_wellness,240,2026-11-16,false
