comp_ledger_id,service_ticket_id,pms_reservation_id,guest_lookup_key,comp_action_raw,face_value,estimated_internal_cost,approval_status,approver_role,posted_date,ledger_loaded_at
CMP000169,TKT000286,,guest_key_00104,Rooftop credit,160,64,rejected,general_manager,2026-02-01,2026-02-04T18:17:00
CMP000170,TKT000288,PMS001475,guest_key_01475,Wellness credit,335,184,approved,front_office_manager,2026-11-13,2026-11-18T09:57:00
CMP000171,TKT000289,,guest_key_00308,4pm checkout,75,15,approved,guest_experience_manager,2026-10-24,2026-10-25T07:25:00
CMP000172,TKT000291,,guest_key_01461,Future stay,385,231,manager_override,rooms_director,2026-01-28,2026-01-30T13:45:00
CMP000173,TKT000295,PMS000143,guest_key_00143,Amenity,75,34,manager_override,general_manager,2026-06-17,2026-06-21T07:20:00
CMP000174,TKT000297,PMS000329,guest_key_00329,Future stay,235,141,pending,guest_experience_manager,2026-12-25,2026-12-28T10:57:00
CMP000175,TKT000298,,guest_key_00402,Food Credit,140,56,approved,rooms_director,2026-02-18,2026-02-20T11:49:00
CMP000176,TKT000299,PMS000090,guest_key_00090,Amenity,50,22,manager_override,guest_experience_manager,2026-10-09,2026-10-13T22:45:00
CMP000177,TKT000300,PMS001262,guest_key_01262,Welcome amenity,55,25,approved,front_office_manager,2026-09-16,2026-09-21T07:44:00
CMP000178,TKT000301,PMS001284,guest_key_01284,Calabra recovery,190,76,approved,guest_experience_manager,2026-10-31,2026-11-05T07:26:00
CMP000179,TKT000303,PMS000544,guest_key_00544,Bottle/amenity,75,34,pending,front_office_manager,2026-07-20,2026-07-21T15:28:00
CMP000180,TKT000305,PMS001474,,Lobby F&B,110,42,approved,front_office_manager,2026-05-01,2026-05-06T09:49:00
CMP000181,TKT000306,PMS000951,guest_key_00951,Destination fee waive,110,20,approved,rooms_director,2026-07-19,2026-07-19T21:09:00
CMP000182,TKT000307,PMS000437,guest_key_00437,Personal apology,0,0,approved,guest_experience_manager,2026-10-31,2026-10-31T08:25:00
CMP000183,TKT000308,PMS000847,guest_key_00847,Wellness credit,225,124,approved,guest_experience_manager,2026-12-21,2026-12-25T16:15:00
CMP000184,TKT000309,,,F&B,155,62,approved,front_office_manager,2026-01-06,2026-01-09T08:56:00
CMP000185,TKT000313,PMS000636,,Rooftop credit,170,68,approved,front_office_manager,2026-10-08,2026-10-12T09:25:00
CMP000186,TKT000315,PMS000443,,F&B,145,58,manager_override,front_office_manager,2026-03-18,2026-03-23T22:49:00
CMP000187,,PMS001558,guest_key_01558,In-room gesture,60,27,approved,guest_experience_manager,2026-08-06,2026-08-10T22:48:00
CMP000188,TKT000320,PMS001416,,Lounge credit,90,34,approved,rooms_director,2026-11-05,2026-11-06T19:29:00
CMP000189,TKT000323,PMS000649,,Calabra recovery,125,50,approved,front_office_manager,2026-08-20,2026-08-24T11:15:00
CMP000190,TKT000324,PMS001195,guest_key_01195,Room move upgrade,360,90,approved,front_office_manager,2026-09-16,2026-09-19T14:05:00
CMP000191,TKT000326,PMS001587,guest_key_01587,Bar credit,130,49,approved,night_manager,2026-07-10,2026-07-14T13:06:00
CMP000192,TKT000328,,,Suite upgrade,260,65,manager_override,front_office_manager,2026-04-20,2026-04-26T20:20:00
CMP000193,TKT000329,PMS000661,guest_key_00661,No dollar comp,0,0,approved,general_manager,2026-08-20,2026-08-22T11:40:00
CMP000194,TKT000330,PMS000992,,Parking waiver,120,22,approved,guest_experience_manager,2026-04-13,2026-04-13T16:00:00
CMP000195,TKT000331,PMS001589,guest_key_01589,Lobby F&B,75,28,approved,rooms_director,2026-07-08,2026-07-12T17:02:00
CMP000196,TKT000332,PMS000830,guest_key_00830,Calabra recovery,180,72,approved,general_manager,2026-01-07,2026-01-12T11:50:00
CMP000197,TKT000333,PMS000391,,Late CO,115,23,approved,front_office_manager,2026-09-12,2026-09-15T13:18:00
CMP000198,TKT000336,PMS000176,guest_key_00176,Restaurant credit,160,64,approved,general_manager,2026-02-17,2026-02-18T08:48:00
CMP000199,,,guest_key_01138,Palma credit,85,32,approved,guest_experience_manager,2026-06-28,2026-06-29T15:37:00
CMP000200,TKT000342,PMS000557,,Upgrade,245,61,manager_override,rooms_director,2026-01-27,2026-01-27T21:01:00
CMP000201,TKT000344,PMS001403,guest_key_01403,4pm checkout,95,19,approved,guest_experience_manager,2026-09-09,2026-09-13T19:40:00
CMP000202,TKT000345,PMS000437,guest_key_00437,Valet comp,120,22,approved,front_office_manager,2026-10-31,2026-11-04T17:32:00
CMP000203,TKT000348,,guest_key_00611,Destination fee waive,100,18,approved,guest_experience_manager,2026-05-19,2026-05-24T12:56:00
CMP000204,TKT000349,PMS001359,guest_key_01359,No dollar comp,0,0,approved,night_manager,2026-10-31,2026-11-03T20:32:00
CMP000205,,PMS000716,,Calabra recovery,185,74,approved,front_office_manager,2026-12-01,2026-12-01T14:14:00
CMP000206,,PMS000737,guest_key_00737,Late CO,120,24,rejected,front_office_manager,2026-11-21,2026-11-22T17:34:00
CMP000207,TKT000353,PMS000054,guest_key_00054,Amenity,75,34,approved,general_manager,2026-06-20,2026-06-25T15:28:00
CMP000208,TKT000354,PMS000311,guest_key_00311,In-room gesture,70,32,approved,rooms_director,2026-12-28,2026-12-29T22:22:00
CMP000209,TKT000355,PMS000027,,Rate credit,475,475,approved,guest_experience_manager,2026-12-29,2027-01-02T18:55:00
CMP000210,TKT000357,,guest_key_01032,Partial night,475,475,approved,guest_experience_manager,2026-06-27,2026-06-30T13:32:00
CMP000211,TKT000360,PMS001594,,Bar credit,85,32,approved,rooms_director,2026-05-14,2026-05-14T12:52:00
CMP000212,,PMS000780,guest_key_00780,Late checkout,75,15,pending,front_office_manager,2026-06-18,2026-06-20T13:45:00
CMP000213,TKT000363,PMS001053,,Parking/Dest fee,70,13,approved,rooms_director,2026-06-20,2026-06-24T13:37:00
CMP000214,TKT000367,PMS001160,guest_key_01160,4pm checkout,90,18,approved,night_manager,2026-01-01,2026-01-02T12:32:00
CMP000215,,PMS000993,guest_key_00993,Manager Note,0,0,approved,rooms_director,2026-02-15,2026-02-16T13:52:00
CMP000216,TKT000370,PMS000834,guest_key_00834,Calabra recovery,170,68,approved,rooms_director,2026-06-19,2026-06-21T11:15:00
CMP000217,TKT000371,PMS000134,guest_key_00134,Food Credit,180,72,approved,rooms_director,2026-11-28,2026-12-04T19:03:00
CMP000218,TKT000372,PMS001238,,Food Credit,200,80,approved,front_office_manager,2026-07-10,2026-07-10T13:47:00
