service_ticket_id,pms_reservation_id,crm_guest_id,guest_lookup_key,room_number_proxy,opened_timestamp,closed_timestamp,department_raw,issue_code_raw,severity_raw,reported_in_stay,guest_notes_text,ticket_status,source_loaded_at
TKT000013,PMS000371,CRM000371,guest_key_00371,331,2026-08-31T19:14:00,2026-08-31T08:01:00,front_desk,arrival delay,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,manager_review,2026-09-01
TKT000014,PMS000290,,guest_key_00290,382,2026-07-23T08:29:00,2026-07-23T08:33:00,front_desk,folio issue,,false,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-07-25
TKT000015,,CRM001595,guest_key_01595,389,2026-01-27T19:10:00,2026-01-27T08:31:00,valet,room type mismatch,3,false,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-01-29
TKT000016,PMS001079,,guest_key_01079,,2026-07-30T09:55:00,2026-07-30T08:42:00,rooms,upgrade expectation,4,false,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-08-02
TKT000017,PMS001299,CRM001299,,477,2026-03-01T11:28:00,2026-03-01T08:24:00,front_desk,fb service,2,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-03-02
TKT000018,PMS000841,CRM000841,guest_key_00841,439,2026-11-07T17:37:00,2026-11-07T08:58:00,spa_wellness,restaurant issue,5,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-11-09
TKT000019,PMS000355,CRM000355,guest_key_00355,355,2026-09-14T22:40:00,2026-09-14T09:35:00,rooms,room_not_ready,4,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-09-14
TKT000020,PMS000239,CRM000239,guest_key_00239,316,2026-04-03T19:47:00,2026-04-03T08:58:00,housekeeping,wrong room,4,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-04-03
TKT000021,PMS000794,CRM000794,,361,2026-07-17T07:01:00,2026-07-17T08:27:00,rooms,parking,3,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-07-19
TKT000022,PMS001399,CRM001399,guest_key_01399,369,2026-04-09T18:48:00,2026-04-09T08:08:00,food_beverage,upgrade expectation,,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,open,2026-04-11
TKT000023,PMS000336,CRM000336,guest_key_00336,418,2026-05-22T07:45:00,2026-05-22T08:37:00,front_desk,maintenance,4,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-05-24
TKT000024,PMS000146,CRM000146,,426,2026-01-30T08:53:00,2026-01-30T08:12:00,spa_wellness,pool wait,2,false,Guest expected a signature rooftop/pool experience but encountered access friction.,closed,2026-01-30
TKT000025,PMS001547,CRM001547,guest_key_01547,389,2026-06-20T22:17:00,2026-06-20T08:11:00,front_desk,housekeeping,4,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-06-20
TKT000026,PMS000673,CRM000673,guest_key_00673,331,2026-07-28T22:32:00,2026-07-28T08:19:00,housekeeping,dining delay,1,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-07-31
TKT000027,PMS000156,,guest_key_00156,326,2026-02-11T07:50:00,2026-02-11T08:12:00,engineering,hk miss,3,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-02-11
TKT000028,PMS001144,CRM001144,guest_key_01144,303,2026-01-08T12:21:00,2026-01-08T08:15:00,front_desk,arrival valet,3,false,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,merged_duplicate,2026-01-08
TKT000029,PMS000088,CRM000088,guest_key_00088,343,2026-02-12T17:52:00,2026-02-12T10:34:00,front_desk,upgrade expectation,5,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-02-14
TKT000030,PMS001522,CRM001522,guest_key_01522,,2026-11-27T18:32:00,2026-11-27T08:37:00,food_beverage,maintenance,3,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-11-27
TKT000031,PMS001133,CRM001133,guest_key_01133,469,2026-04-08T20:34:00,2026-04-08T08:04:00,housekeeping,treatment delay,3,true,Guest reported that a wellness or spa experience did not meet expectations.,closed,2026-04-11
TKT000032,PMS000678,CRM000678,guest_key_00678,359,2026-09-20T19:12:00,2026-09-20T08:49:00,rooms,arrival delay,4,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,manager_review,2026-09-23
TKT000033,,CRM000330,guest_key_00330,378,2026-07-07T16:26:00,2026-07-07T08:35:00,front_desk,arrival delay,,false,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-07-10
TKT000034,PMS000056,CRM000056,guest_key_00056,307,2026-05-30T10:10:00,2026-05-30T08:48:00,engineering,spa issue,,true,Guest reported that a wellness or spa experience did not meet expectations.,closed,2026-05-31
TKT000035,PMS001310,CRM001310,guest_key_01310,397,2026-12-22T20:07:00,2026-12-22T08:20:00,housekeeping,restaurant issue,3,false,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-12-24
TKT000036,PMS001548,CRM001548,guest_key_01548,418,2026-06-02T17:38:00,2026-06-02T08:35:00,housekeeping,maintenance,3,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-06-03
TKT000037,,,guest_key_00857,381,2026-05-15T12:13:00,2026-05-15T08:39:00,front_desk,hk miss,3,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-05-16
TKT000038,PMS001227,CRM001227,guest_key_01227,316,2026-06-22T17:13:00,2026-06-22T08:25:00,rooms,parking,3,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,merged_duplicate,2026-06-24
TKT000039,PMS001137,,guest_key_01137,432,2026-12-25T17:36:00,2026-12-25T08:08:00,rooms,housekeeping,3,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-12-26
TKT000040,PMS000518,CRM000518,guest_key_00518,374,2026-01-16T09:33:00,2026-01-16T08:04:00,front_desk,maintenance,3,false,Guest experienced a room maintenance problem requiring staff response.,closed,2026-01-17
TKT000041,PMS000488,CRM000488,guest_key_00488,368,2026-12-04T12:41:00,2026-12-04T08:10:00,housekeeping,sleep disruption,3,true,Guest reported disrupted rest and expected a more serene stay.,open,2026-12-04
TKT000042,PMS001167,CRM001167,guest_key_01167,323,2026-11-13T15:53:00,2026-11-13T08:49:00,housekeeping,view issue,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-11-15
TKT000043,PMS001376,,guest_key_01376,407,2026-02-09T22:57:00,2026-02-09T08:05:00,front_desk,restaurant issue,,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-02-11
TKT000044,PMS000570,CRM000570,guest_key_00570,314,2026-02-16T08:48:00,2026-02-16T08:04:00,valet,restaurant issue,4,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-02-17
TKT000045,PMS000126,CRM000126,guest_key_00126,454,2026-08-11T15:25:00,2026-08-11T08:20:00,housekeeping,room equipment,3,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-08-11
TKT000046,PMS000705,CRM000705,guest_key_00705,,2026-06-16T19:44:00,2026-06-16T08:47:00,housekeeping,order problem,2,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-06-18
TKT000047,,CRM000031,guest_key_00031,462,2026-06-07T09:17:00,2026-06-07T08:48:00,housekeeping,dining delay,2,false,Guest had a dining or service lapse during an on-property food and beverage experience.,manager_review,2026-06-07
TKT000048,PMS000941,CRM000941,guest_key_00941,448,2026-11-10T16:28:00,2026-11-10T08:49:00,engineering,sleep disruption,3,false,Guest reported disrupted rest and expected a more serene stay.,closed,2026-11-13
TKT000049,,CRM000528,,451,2026-11-05T17:30:00,2026-11-05T08:27:00,front_desk,room equipment,,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-11-05
TKT000050,PMS000293,CRM000293,guest_key_00293,,2026-02-16T13:27:00,2026-02-16T08:37:00,housekeeping,treatment delay,2,true,Guest reported that a wellness or spa experience did not meet expectations.,closed,2026-02-16
TKT000051,PMS000020,CRM000020,guest_key_00020,,2026-02-10T11:26:00,2026-02-10T08:01:00,front_desk,housekeeping,3,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-02-13
TKT000052,PMS000789,CRM000789,guest_key_00789,313,2026-08-22T09:45:00,2026-08-22T10:56:00,engineering,fee dispute,1,true,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-08-25
TKT000053,,CRM001478,guest_key_01478,457,2026-10-14T14:43:00,2026-10-14T08:24:00,food_beverage,arrival delay,4,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-10-17
TKT000054,PMS001191,CRM001191,guest_key_01191,354,2026-02-02T20:06:00,2026-02-02T08:06:00,rooms,linen/turndown,,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-02-05
TKT000055,PMS000403,CRM000403,guest_key_00403,408,2026-07-09T22:55:00,2026-07-09T08:07:00,rooms,sleep disruption,2,false,Guest reported disrupted rest and expected a more serene stay.,manager_review,2026-07-12
TKT000056,PMS000684,,guest_key_00684,375,2026-06-22T19:45:00,2026-06-22T09:26:00,housekeeping,arrival delay,3,false,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-06-22
TKT000057,PMS001015,CRM001015,guest_key_01015,319,2026-07-08T08:47:00,2026-07-08T09:06:00,food_beverage,car delay,2,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-07-08
TKT000058,PMS001315,CRM001315,guest_key_01315,450,2026-03-29T08:15:00,2026-03-29T08:49:00,rooms,wrong room,4,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-04-01
TKT000059,PMS000954,,guest_key_00954,414,2026-01-07T13:32:00,2026-01-07T08:23:00,housekeeping,linen/turndown,3,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,manager_review,2026-01-08
TKT000060,PMS000752,CRM000752,guest_key_00752,463,2026-05-17T10:18:00,2026-05-17T08:56:00,housekeeping,room type mismatch,3,false,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,open,2026-05-17
TKT000061,PMS000103,CRM000103,guest_key_00103,,2026-08-06T11:16:00,2026-08-06T08:03:00,rooms,housekeeping,3,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,open,2026-08-09
TKT000062,,CRM001285,guest_key_01285,402,2026-12-28T08:37:00,2026-12-28T08:43:00,rooms,charge question,3,true,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-12-29
TKT000063,PMS000326,CRM000326,guest_key_00326,359,2026-05-04T13:54:00,2026-05-04T08:16:00,rooms,late room,4,false,Guest waited past arrival time and felt the welcome experience did not match the rate.,manager_review,2026-05-07
TKT000064,PMS001473,CRM001473,guest_key_01473,322,2026-03-28T20:31:00,2026-03-28T08:34:00,front_desk,restaurant issue,,false,Guest had a dining or service lapse during an on-property food and beverage experience.,manager_review,2026-03-31
TKT000065,,CRM000230,guest_key_00230,390,2026-07-05T16:15:00,2026-07-05T08:47:00,engineering,charge question,5,true,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-07-08
TKT000066,PMS000852,CRM000852,guest_key_00852,419,2026-02-16T14:20:00,2026-02-16T08:46:00,rooms,noise,3,false,Guest reported disrupted rest and expected a more serene stay.,closed,2026-02-16
TKT000067,PMS000883,CRM000883,guest_key_00883,332,2026-09-21T11:02:00,2026-09-21T08:43:00,front_desk,dining delay,3,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-09-22
TKT000068,PMS000899,CRM000899,guest_key_00899,427,2026-06-21T07:23:00,2026-06-21T08:37:00,engineering,late room,3,false,Guest waited past arrival time and felt the welcome experience did not match the rate.,merged_duplicate,2026-06-23
TKT000069,PMS000015,CRM000015,guest_key_00015,464,2026-12-25T07:36:00,2026-12-25T08:44:00,housekeeping,pool wait,3,true,Guest expected a signature rooftop/pool experience but encountered access friction.,closed,2026-12-25
TKT000070,PMS000689,CRM000689,,342,2026-07-22T07:03:00,2026-07-22T08:54:00,engineering,restaurant issue,,true,Guest had a dining or service lapse during an on-property food and beverage experience.,open,2026-07-22
TKT000071,PMS000080,CRM000080,guest_key_00080,358,2026-11-16T22:30:00,2026-11-16T08:56:00,front_desk,room equipment,2,false,Guest experienced a room maintenance problem requiring staff response.,closed,2026-11-18
TKT000072,PMS000349,CRM000349,,393,2026-05-04T14:18:00,2026-05-04T08:07:00,housekeeping,spa recovery,3,true,Guest reported that a wellness or spa experience did not meet expectations.,open,2026-05-04
TKT000073,PMS001104,CRM001104,guest_key_01104,367,2026-07-21T16:00:00,2026-07-21T08:28:00,housekeeping,cabana issue,1,true,Guest expected a signature rooftop/pool experience but encountered access friction.,open,2026-07-22
TKT000074,PMS001316,CRM001316,guest_key_01316,390,2026-11-02T07:55:00,2026-11-02T08:13:00,rooms,parking,3,false,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-11-03
TKT000075,,CRM000410,,315,2026-11-13T13:04:00,2026-11-13T08:22:00,spa_wellness,room type mismatch,,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-11-16
TKT000076,PMS000574,CRM000574,guest_key_00574,454,2026-03-01T14:33:00,2026-03-01T08:56:00,housekeeping,housekeeping,5,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-03-01
TKT000077,PMS000604,CRM000604,guest_key_00604,474,2026-11-05T18:58:00,2026-11-05T08:25:00,front_desk,parking,,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-11-06
TKT000078,PMS000748,CRM000748,,362,2026-04-07T19:06:00,2026-04-07T08:37:00,rooms,parking,,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-04-07
TKT000079,PMS000275,CRM000275,guest_key_00275,418,2026-11-28T10:43:00,2026-11-28T08:54:00,front_desk,pool wait,2,true,Guest expected a signature rooftop/pool experience but encountered access friction.,closed,2026-11-30
TKT000080,PMS001246,,,388,2026-12-22T17:47:00,2026-12-22T08:12:00,rooms,room equipment,3,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-12-23
TKT000081,PMS000806,CRM000806,guest_key_00806,389,2026-03-14T07:35:00,2026-03-14T08:33:00,front_desk,room_not_ready,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-03-15
TKT000082,PMS000046,,guest_key_00046,364,2026-10-29T13:35:00,2026-10-29T08:05:00,rooms,room equipment,4,true,Guest experienced a room maintenance problem requiring staff response.,manager_review,2026-11-01
TKT000083,PMS000734,CRM000734,guest_key_00734,,2026-02-17T09:52:00,2026-02-17T08:46:00,front_desk,street noise,2,true,Guest reported disrupted rest and expected a more serene stay.,closed,2026-02-18
TKT000084,PMS000254,,guest_key_00254,327,2026-09-11T18:30:00,2026-09-11T08:53:00,engineering,hk miss,4,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-09-14
TKT000085,PMS001437,,guest_key_01437,321,2026-08-01T20:50:00,2026-08-01T08:52:00,rooms,noise,,true,Guest reported disrupted rest and expected a more serene stay.,closed,2026-08-02
TKT000086,,CRM001297,guest_key_01297,327,2026-12-18T14:44:00,2026-12-18T09:36:00,rooms,view issue,,false,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-12-19
TKT000087,,CRM000823,guest_key_00823,432,2026-08-05T17:15:00,2026-08-05T08:53:00,front_desk,arrival valet,,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,open,2026-08-07
TKT000088,PMS000508,CRM000508,guest_key_00508,464,2026-10-30T10:55:00,2026-10-30T08:25:00,housekeeping,view issue,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-11-01
TKT000089,PMS000638,CRM000638,,327,2026-01-27T21:59:00,2026-01-27T08:57:00,front_desk,room clean issue,4,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,open,2026-01-27
TKT000090,PMS000316,CRM000316,guest_key_00316,471,2026-06-05T07:07:00,2026-06-05T08:49:00,rooms,order problem,,false,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-06-08
TKT000091,,CRM001319,guest_key_01319,474,2026-08-29T16:56:00,2026-08-29T09:18:00,food_beverage,view issue,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-09-01
TKT000092,PMS000581,CRM000581,guest_key_00581,,2026-07-22T14:29:00,2026-07-22T08:24:00,front_desk,cabana issue,1,true,Guest expected a signature rooftop/pool experience but encountered access friction.,manager_review,2026-07-25
TKT000093,PMS001493,,guest_key_01493,,2026-08-09T19:35:00,2026-08-09T08:41:00,valet,room_not_ready,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-08-11
TKT000094,,,,402,2026-09-20T15:37:00,2026-09-20T08:18:00,food_beverage,order problem,3,false,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-09-21
TKT000095,PMS000595,,guest_key_00595,327,2026-06-16T11:25:00,2026-06-16T08:37:00,front_desk,billing,4,true,Guest questioned a charge and felt the explanation was not clear enough.,open,2026-06-16
TKT000096,,CRM000659,,358,2026-12-05T07:14:00,2026-12-05T08:19:00,food_beverage,maintenance,2,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-12-08
TKT000097,PMS000831,CRM000831,guest_key_00831,320,2026-10-16T21:31:00,2026-10-16T08:48:00,food_beverage,restaurant issue,3,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-10-17
TKT000098,PMS001097,,,,2026-08-12T08:36:00,2026-08-12T08:37:00,food_beverage,pool wait,3,true,Guest expected a signature rooftop/pool experience but encountered access friction.,merged_duplicate,2026-08-15
TKT000099,PMS000631,CRM000631,guest_key_00631,413,2026-03-20T08:58:00,2026-03-20T08:24:00,spa_wellness,arrival delay,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,manager_review,2026-03-21
TKT000100,PMS000408,CRM000408,guest_key_00408,370,2026-11-20T14:34:00,2026-11-20T08:46:00,food_beverage,folio issue,4,false,Guest questioned a charge and felt the explanation was not clear enough.,manager_review,2026-11-20
TKT000101,PMS000037,,guest_key_00037,339,2026-11-01T19:22:00,2026-11-01T08:05:00,housekeeping,linen/turndown,3,false,Guest reported a housekeeping miss that made the room feel below luxury standard.,manager_review,2026-11-04
TKT000102,PMS001208,,guest_key_01208,445,2026-01-13T16:14:00,2026-01-13T08:57:00,housekeeping,late room,5,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,merged_duplicate,2026-01-15
TKT000103,PMS001070,CRM001070,guest_key_01070,386,2026-01-08T07:03:00,2026-01-08T08:15:00,rooms,facilities issue,4,false,Guest experienced a room maintenance problem requiring staff response.,closed,2026-01-11
TKT000104,PMS000439,CRM000439,guest_key_00439,324,2026-08-13T19:02:00,2026-08-13T08:10:00,rooms,folio issue,3,true,Guest questioned a charge and felt the explanation was not clear enough.,manager_review,2026-08-14
TKT000105,PMS000452,CRM000452,guest_key_00452,445,2026-02-05T11:45:00,2026-02-05T08:06:00,valet,order problem,,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-02-08
TKT000106,PMS000006,CRM000006,guest_key_00006,337,2026-07-25T10:21:00,2026-07-25T08:58:00,rooms,late room,2,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,manager_review,2026-07-28
TKT000107,PMS001451,CRM001451,guest_key_01451,352,2026-11-25T18:39:00,2026-11-25T08:15:00,spa_wellness,sleep disruption,3,true,Guest reported disrupted rest and expected a more serene stay.,closed,2026-11-28
TKT000108,PMS000067,,guest_key_00067,399,2026-06-04T07:10:00,2026-06-04T08:48:00,housekeeping,wrong room,,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-06-05
TKT000109,PMS001148,CRM001148,guest_key_01148,,2026-12-02T15:30:00,2026-12-02T08:33:00,engineering,order problem,1,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-12-03
TKT000110,PMS000409,CRM000409,guest_key_00409,,2026-08-05T12:27:00,2026-08-05T08:52:00,front_desk,upgrade expectation,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-08-05
TKT000111,,CRM001532,guest_key_01532,422,2026-09-16T22:53:00,2026-09-16T08:13:00,rooms,checkin wait,2,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-09-17
TKT000112,PMS000720,CRM000720,guest_key_00720,340,2026-12-19T09:08:00,2026-12-19T08:46:00,food_beverage,room type mismatch,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-12-22
TKT000113,PMS000858,CRM000858,guest_key_00858,440,2026-10-24T12:05:00,2026-10-24T08:43:00,engineering,billing,4,false,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-10-26
TKT000114,PMS000670,CRM000670,guest_key_00670,381,2026-07-23T11:22:00,2026-07-23T08:22:00,engineering,wrong room,4,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-07-23
TKT000115,PMS000002,CRM000002,guest_key_00002,,2026-01-27T18:04:00,2026-01-27T08:25:00,housekeeping,room type mismatch,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,merged_duplicate,2026-01-30
TKT000116,PMS001322,CRM001322,guest_key_01322,469,2026-07-26T19:32:00,2026-07-26T08:57:00,rooms,noise,,false,Guest reported disrupted rest and expected a more serene stay.,open,2026-07-29
TKT000117,PMS000493,CRM000493,guest_key_00493,461,2026-07-15T08:59:00,2026-07-15T08:57:00,front_desk,fb service,3,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-07-18
TKT000118,,CRM001325,guest_key_01325,,2026-02-20T15:21:00,2026-02-20T08:11:00,rooms,view issue,4,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,open,2026-02-23
TKT000119,PMS000974,CRM000974,guest_key_00974,353,2026-03-22T07:56:00,2026-03-22T08:38:00,food_beverage,facilities issue,4,false,Guest experienced a room maintenance problem requiring staff response.,manager_review,2026-03-24
TKT000120,PMS000162,CRM000162,guest_key_00162,409,2026-06-09T17:47:00,2026-06-09T08:43:00,food_beverage,folio issue,,false,Guest questioned a charge and felt the explanation was not clear enough.,closed,2026-06-11
TKT000121,PMS000986,CRM000986,guest_key_00986,388,2026-08-16T21:37:00,2026-08-16T08:50:00,rooms,wrong room,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-08-17
TKT000122,PMS000523,CRM000523,,349,2026-07-20T16:02:00,2026-07-20T08:32:00,engineering,engineering,5,true,Guest experienced a room maintenance problem requiring staff response.,closed,2026-07-23
TKT000123,PMS001465,,guest_key_01465,394,2026-04-10T20:00:00,2026-04-10T08:43:00,front_desk,checkin wait,5,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-04-10
TKT000124,PMS001448,CRM001448,guest_key_01448,479,2026-01-10T16:57:00,2026-01-10T08:17:00,rooms,maintenance,,false,Guest experienced a room maintenance problem requiring staff response.,closed,2026-01-13
TKT000125,PMS001292,CRM001292,guest_key_01292,469,2026-07-10T12:59:00,2026-07-10T08:18:00,housekeeping,dining delay,4,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-07-12
TKT000126,,CRM000418,guest_key_00418,369,2026-05-07T13:28:00,2026-05-07T08:27:00,housekeeping,sleep disruption,3,true,Guest reported disrupted rest and expected a more serene stay.,closed,2026-05-08
TKT000127,PMS001145,CRM001145,guest_key_01145,411,2026-10-13T13:16:00,2026-10-13T08:44:00,front_desk,room type mismatch,3,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-10-16
TKT000128,PMS000457,CRM000457,guest_key_00457,,2026-11-13T13:07:00,2026-11-13T08:12:00,food_beverage,housekeeping,3,true,Guest reported a housekeeping miss that made the room feel below luxury standard.,closed,2026-11-13
TKT000129,PMS000872,CRM000872,guest_key_00872,334,2026-11-15T22:40:00,2026-11-15T09:45:00,engineering,spa issue,3,false,Guest reported that a wellness or spa experience did not meet expectations.,closed,2026-11-15
TKT000130,PMS000078,,guest_key_00078,,2026-11-26T11:00:00,2026-11-26T08:02:00,valet,dining delay,3,true,Guest had a dining or service lapse during an on-property food and beverage experience.,closed,2026-11-28
TKT000131,PMS000247,,guest_key_00247,304,2026-05-30T14:50:00,2026-05-30T08:48:00,housekeeping,arrival delay,3,true,Guest waited past arrival time and felt the welcome experience did not match the rate.,closed,2026-05-30
TKT000132,,CRM000385,guest_key_00385,387,2026-10-09T19:35:00,2026-10-09T08:55:00,rooms,valet wait,,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,closed,2026-10-09
TKT000133,PMS001454,CRM001454,guest_key_01454,429,2026-05-08T17:14:00,2026-05-08T08:46:00,front_desk,room type mismatch,4,true,Guest expected a more desirable room configuration and felt the assignment missed the occasion.,closed,2026-05-10
TKT000134,PMS000242,CRM000242,guest_key_00242,407,2026-08-02T21:42:00,2026-08-02T08:39:00,front_desk,pool access,3,false,Guest expected a signature rooftop/pool experience but encountered access friction.,closed,2026-08-05
TKT000135,PMS001332,,guest_key_01332,,2026-04-24T11:51:00,2026-04-24T08:54:00,valet,car delay,4,true,Guest experienced valet or parking delay at a high-friction arrival or departure moment.,open,2026-04-25
