service_date,occupancy_rate,housekeeping_pressure,front_desk_queue_pressure,maintenance_backlog,food_beverage_capacity_pressure,spa_capacity_pressure
2026-02-27,0.505,0.599,0.467,12,0.505,0.273
2026-02-28,0.631,0.688,0.521,7,0.532,0.214
2026-03-01,0.601,0.438,0.655,1,0.328,0.42
2026-03-02,0.453,0.557,0.413,3,0.49,0.166
2026-03-03,0.343,0.38,0.156,7,0.216,0.009
2026-03-04,0.45,0.422,0.411,2,0.346,0.256
2026-03-05,0.609,0.628,0.626,11,0.485,0.477
2026-03-06,0.73,0.739,0.519,2,0.731,0.489
2026-03-07,0.597,0.644,0.299,7,0.463,0.255
2026-03-08,0.652,0.586,0.611,6,0.474,0.388
2026-03-09,0.65,0.683,0.468,5,0.532,0.436
2026-03-10,0.433,0.458,0.375,13,0.449,0.251
2026-03-11,0.659,0.519,0.689,4,0.616,0.41
2026-03-12,0.786,0.817,0.475,10,0.635,0.545
2026-03-13,0.632,0.815,0.658,14,0.543,0.414
2026-03-14,0.567,0.573,0.515,11,0.453,0.323
2026-03-15,0.657,0.666,0.634,5,0.497,0.625
2026-03-16,0.44,0.28,0.049,7,0.39,0.306
2026-03-17,0.377,0.254,0.477,1,0.061,0.288
2026-03-18,0.413,0.443,0.441,7,0.177,0.296
2026-03-19,0.426,0.468,0.229,4,0.41,0.258
2026-03-20,0.387,0.442,0.407,7,0.594,0.155
2026-03-21,0.746,0.73,0.44,12,0.496,0.354
2026-03-22,0.639,0.844,0.402,5,0.619,0.334
2026-03-23,0.613,0.731,0.604,6,0.422,0.574
2026-03-24,0.451,0.611,0.564,8,0.483,0.179
2026-03-25,0.32,0.446,0.308,0,0.252,0.066
2026-03-26,0.695,0.681,0.486,10,0.332,0.309
2026-03-27,0.65,0.838,0.608,4,0.466,0.613
2026-03-28,0.742,0.806,0.612,12,0.544,0.574
2026-03-29,0.635,0.652,0.58,10,0.618,0.401
2026-03-30,0.532,0.523,0.314,5,0.357,0.204
2026-03-31,0.368,0.316,0.475,8,0.085,0.176
2026-04-01,0.403,0.344,0.474,1,0.223,0.137
2026-04-02,0.62,0.667,0.76,11,0.319,0.401
2026-04-03,0.837,0.779,0.69,4,0.673,0.586
2026-04-04,0.67,0.64,0.386,9,0.415,0.273
2026-04-05,0.758,0.795,0.52,11,0.695,0.538
2026-04-06,0.529,0.493,0.261,4,0.441,0.513
2026-04-07,0.48,0.386,0.289,6,0.213,0.212
2026-04-08,0.325,0.441,0.225,14,0.033,0.303
2026-04-09,0.422,0.496,0.458,6,0.168,0.166
2026-04-10,0.478,0.563,0.574,10,0.538,0.279
2026-04-11,0.712,0.736,0.534,13,0.746,0.407
2026-04-12,0.635,0.668,0.618,2,0.449,0.417
2026-04-13,0.698,0.777,0.55,4,0.595,0.349
2026-04-14,0.426,0.49,0.571,11,0.429,0.246
2026-04-15,0.44,0.509,0.355,14,0.318,0.284
2026-04-16,0.436,0.428,0.339,9,0.154,0.252
2026-04-17,0.579,0.581,0.502,13,0.413,0.459
2026-04-18,0.751,0.733,0.69,10,0.53,0.447
2026-04-19,0.795,0.706,0.726,2,0.732,0.372
2026-04-20,0.32,0.212,0.196,2,0.232,0.269
2026-04-21,0.649,0.61,0.633,1,0.377,0.247
2026-04-22,0.58,0.49,0.347,1,0.386,0.366
2026-04-23,0.708,0.529,0.733,13,0.704,0.415
2026-04-24,0.32,0.275,0.587,1,0.255,0.429
2026-04-25,0.425,0.338,0.031,14,0.354,0.244
2026-04-26,0.484,0.474,0.566,11,0.495,0.432
2026-04-27,0.39,0.362,0.338,12,0.354,0.215
2026-04-28,0.582,0.556,0.593,12,0.373,0.358
2026-04-29,0.52,0.476,0.378,1,0.278,0.301
2026-04-30,0.61,0.714,0.474,15,0.457,0.368
2026-05-01,0.99,1,0.873,10,0.935,0.726
2026-05-02,0.93,0.971,0.835,15,0.799,0.766
2026-05-03,0.562,0.532,0.47,11,0.458,0.52
2026-05-04,0.99,1,0.931,4,0.77,0.819
2026-05-05,0.886,0.97,0.769,12,0.739,0.798
2026-05-06,0.934,0.953,1,2,0.736,0.882
2026-05-07,0.597,0.602,0.619,12,0.1,0.341
2026-05-08,0.948,0.984,0.813,5,0.911,0.815
2026-05-09,0.99,1,0.765,7,0.805,0.719
2026-05-10,0.934,0.957,0.708,10,0.699,0.783
2026-05-11,0.619,0.621,0.303,11,0.441,0.588
2026-05-12,0.648,0.574,0.485,1,0.465,0.627
2026-05-13,0.687,0.881,0.574,15,0.553,0.606
2026-05-14,0.99,0.92,0.859,6,0.717,0.858
2026-05-15,0.503,0.411,0.273,12,0.444,0.323
2026-05-16,0.826,0.905,0.474,12,0.539,0.905
2026-05-17,0.937,1,0.774,0,0.757,0.591
2026-05-18,0.972,0.927,0.884,10,0.993,0.778
2026-05-19,0.722,0.605,0.595,4,0.477,0.6
2026-05-20,0.469,0.448,0.496,5,0.264,0.539
2026-05-21,0.95,1,0.853,12,0.777,0.832
2026-05-22,0.75,0.66,0.767,10,0.688,0.769
2026-05-23,0.501,0.438,0.265,3,0.636,0.501
2026-05-24,0.987,0.895,0.735,13,0.549,0.81
2026-05-25,0.74,0.863,0.845,13,0.603,0.768
2026-05-26,0.98,1,0.82,5,0.432,0.613
2026-05-27,0.845,0.68,0.691,5,0.653,0.71
2026-05-28,0.694,0.681,0.46,7,0.644,0.585
2026-05-29,0.615,0.764,0.454,2,0.412,0.671
2026-05-30,0.695,0.758,0.566,9,0.691,0.564
2026-05-31,0.866,0.774,0.762,6,0.478,0.787
2026-06-01,0.622,0.68,0.284,8,0.487,0.63
2026-06-02,0.453,0.405,0.369,14,0.476,0.505
2026-06-03,0.688,0.68,0.522,9,0.269,0.727
2026-06-04,0.681,0.758,0.553,7,0.62,0.553
2026-06-05,0.944,0.932,0.815,6,0.841,0.996
2026-06-06,0.798,0.863,0.536,13,0.777,0.662
2026-06-07,0.624,0.615,0.787,13,0.333,0.488
2026-06-08,0.595,0.509,0.139,6,0.34,0.539
2026-06-09,0.464,0.349,0.608,15,0.358,0.59
2026-06-10,0.911,0.782,0.609,2,0.494,0.657
2026-06-11,0.931,0.947,0.709,5,0.532,0.905
2026-06-12,0.876,0.884,0.79,15,0.64,0.639
2026-06-13,0.826,0.677,0.678,11,0.521,0.653
2026-06-14,0.859,0.895,0.958,7,0.766,0.524
2026-06-15,0.923,1,0.832,14,0.769,0.68
2026-06-16,0.846,0.861,0.765,2,0.723,0.536
2026-06-17,0.325,0.212,0.083,3,0.26,0.459
2026-06-18,0.38,0.451,0.439,10,0.319,0.325
2026-06-19,0.92,0.944,0.907,2,0.665,0.676
2026-06-20,0.752,0.746,0.767,7,0.796,0.531
2026-06-21,0.99,0.982,0.792,8,0.982,0.859
2026-06-22,0.965,0.889,0.847,7,0.734,0.596
2026-06-23,0.585,0.519,0.508,3,0.374,0.488
2026-06-24,0.376,0.352,0.276,11,0.324,0.242
2026-06-25,0.73,0.84,0.638,1,0.416,0.753
2026-06-26,0.817,0.945,0.752,1,0.726,0.632
2026-06-27,0.868,0.87,0.833,13,0.797,0.754
2026-06-28,0.967,1,0.816,13,0.676,0.809
2026-06-29,0.926,0.868,0.808,0,0.638,0.669
2026-06-30,0.663,0.673,0.595,9,0.549,0.514
2026-07-01,0.873,0.915,0.732,2,0.564,0.671
2026-07-02,0.906,0.847,0.847,6,0.549,0.697
2026-07-03,0.978,1,0.806,4,0.69,0.943
2026-07-04,0.777,0.608,0.679,8,0.703,0.678
2026-07-05,0.99,0.871,0.948,5,0.916,0.788
2026-07-06,0.625,0.633,0.611,12,0.49,0.508
2026-07-07,0.945,0.959,0.968,8,0.823,0.666
2026-07-08,0.568,0.47,0.458,5,0.355,0.505
2026-07-09,0.835,0.748,0.673,10,0.631,0.775
2026-07-10,0.99,0.96,0.896,14,0.811,0.894
2026-07-11,0.909,0.844,0.49,7,0.796,0.746
2026-07-12,0.99,1,0.923,7,0.768,0.592
2026-07-13,0.912,0.871,0.757,11,0.571,0.501
2026-07-14,0.79,0.718,0.551,10,0.572,0.896
2026-07-15,0.701,0.562,0.504,12,0.376,0.567
2026-07-16,0.761,0.921,0.789,8,0.573,0.62
2026-07-17,0.99,0.961,0.985,2,0.849,0.907
2026-07-18,0.762,0.747,0.694,3,0.857,0.823
2026-07-19,0.757,0.736,0.631,12,0.553,0.654
2026-07-20,0.783,0.864,0.687,3,0.517,0.712
2026-07-21,0.864,0.807,0.577,7,0.511,0.695
2026-07-22,0.736,0.736,0.585,6,0.401,0.657
2026-07-23,0.869,0.863,0.717,12,0.61,0.829
2026-07-24,0.926,0.804,0.837,8,0.878,0.772
2026-07-25,0.976,0.941,0.879,2,0.517,0.869
2026-07-26,0.928,0.942,0.875,5,0.908,0.828
2026-07-27,0.542,0.447,0.403,2,0.41,0.386
2026-07-28,0.802,0.972,0.68,9,0.489,0.536
2026-07-29,0.841,0.761,0.6,2,0.666,0.548
2026-07-30,0.788,0.784,0.659,11,0.658,0.719
2026-07-31,0.736,0.75,0.579,15,0.512,0.645
2026-08-01,0.801,0.814,0.463,9,0.568,0.725
2026-08-02,0.658,0.678,0.355,14,0.608,0.71
2026-08-03,0.925,0.972,0.668,7,0.528,0.726
2026-08-04,0.793,0.725,0.781,13,0.577,0.573
2026-08-05,0.578,0.495,0.486,15,0.494,0.674
2026-08-06,0.585,0.583,0.593,5,0.554,0.482
2026-08-07,0.99,0.991,0.89,11,0.754,0.781
2026-08-08,0.9,0.945,0.618,6,0.875,0.728
2026-08-09,0.782,0.589,0.427,3,0.693,0.626
2026-08-10,0.442,0.455,0.521,1,0.447,0.236
2026-08-11,0.959,1,0.704,1,0.721,0.882
2026-08-12,0.817,0.728,0.558,0,0.653,0.798
2026-08-13,0.685,0.739,0.415,4,0.382,0.719
2026-08-14,0.882,0.848,0.712,3,0.675,0.694
2026-08-15,0.835,0.899,0.757,2,0.646,0.649
2026-08-16,0.911,0.843,0.744,5,0.674,0.592
2026-08-17,0.757,0.601,0.57,0,0.585,0.581
2026-08-18,0.663,0.705,0.555,10,0.594,0.533
2026-08-19,0.99,1,0.881,5,0.761,0.67
2026-08-20,0.659,0.61,0.394,7,0.704,0.713
2026-08-21,0.797,0.972,0.405,4,0.58,0.709
2026-08-22,0.951,0.898,0.654,7,0.7,0.703
2026-08-23,0.923,0.932,0.994,11,0.737,0.893
2026-08-24,0.774,0.746,0.583,1,0.792,0.659
2026-08-25,0.99,1,0.755,3,0.577,0.832
2026-08-26,0.952,0.93,0.865,14,0.78,0.764
2026-08-27,0.896,1,0.758,6,0.733,0.68
2026-08-28,0.786,0.807,0.576,0,0.751,0.76
2026-08-29,0.895,0.953,0.818,0,0.606,0.679
2026-08-30,0.99,1,0.993,1,0.657,0.711
2026-08-31,0.546,0.377,0.702,10,0.394,0.431
2026-09-01,0.82,0.78,0.696,3,0.569,0.679
2026-09-02,0.829,0.761,0.745,7,0.506,0.89
2026-09-03,0.688,0.603,0.506,0,0.657,0.693
2026-09-04,0.99,0.918,0.842,7,0.617,0.746
2026-09-05,0.99,1,0.805,4,0.762,0.842
2026-09-06,0.933,0.919,0.773,11,0.686,0.838
2026-09-07,0.637,0.65,0.581,3,0.474,0.522
2026-09-08,0.853,0.949,0.72,12,0.794,0.576
2026-09-09,0.846,0.886,0.65,2,0.631,0.739
2026-09-10,0.414,0.295,0.483,12,0.447,0.716
2026-09-11,0.725,0.799,0.698,7,0.606,0.538
2026-09-12,0.551,0.701,0.129,7,0.576,0.59
2026-09-13,0.844,0.787,0.614,2,0.713,0.886
2026-09-14,0.771,0.706,0.475,11,0.629,0.614
2026-09-15,0.592,0.684,0.416,3,0.537,0.403
2026-09-16,0.71,0.641,0.821,3,0.584,0.584
2026-09-17,0.752,0.833,0.689,2,0.511,0.758
2026-09-18,0.577,0.595,0.339,7,0.538,0.546
2026-09-19,0.99,1,0.836,8,0.945,0.817
2026-09-20,0.99,1,0.783,14,0.885,0.738
2026-09-21,0.989,1,0.933,5,0.602,0.739
2026-09-22,0.99,0.972,0.789,6,0.726,0.828
2026-09-23,0.575,0.461,0.404,3,0.435,0.515
2026-09-24,0.814,0.764,0.793,9,0.483,0.526
2026-09-25,0.846,0.874,0.684,8,0.656,0.835
2026-09-26,0.802,0.745,0.592,7,0.735,0.988
2026-09-27,0.704,0.789,0.656,6,0.57,0.626
2026-09-28,0.99,0.94,0.825,14,0.729,0.938
2026-09-29,0.923,0.987,0.96,14,0.756,0.939
2026-09-30,0.35,0.412,0.056,15,0.159,0.5
2026-10-01,0.585,0.679,0.373,9,0.44,0.187
2026-10-02,0.539,0.519,0.257,4,0.39,0.404
2026-10-03,0.5,0.495,0.585,13,0.504,0.062
2026-10-04,0.683,0.708,0.65,14,0.573,0.294
2026-10-05,0.795,0.849,0.683,8,0.714,0.493
2026-10-06,0.684,0.586,0.573,7,0.432,0.412
2026-10-07,0.32,0.277,0.428,7,0.405,0.186
2026-10-08,0.603,0.596,0.715,4,0.472,0.354
2026-10-09,0.68,0.75,0.493,13,0.586,0.306
2026-10-10,0.347,0.346,0.113,13,0.361,0.253
2026-10-11,0.644,0.616,0.499,1,0.589,0.427
2026-10-12,0.737,0.568,0.791,13,0.53,0.577
2026-10-13,0.483,0.553,0.514,11,0.303,0.275
2026-10-14,0.749,0.885,0.735,1,0.736,0.378
2026-10-15,0.744,0.892,0.7,10,0.728,0.395
2026-10-16,0.729,0.787,0.79,11,0.791,0.427
2026-10-17,0.704,0.75,0.523,5,0.452,0.433
2026-10-18,0.516,0.565,0.326,5,0.43,0.285
2026-10-19,0.32,0.29,0.364,7,0.362,0.297
2026-10-20,0.574,0.502,0.593,8,0.354,0.417
2026-10-21,0.525,0.571,0.566,13,0.31,0.395
2026-10-22,0.559,0.671,0.57,15,0.429,0.308
2026-10-23,0.504,0.325,0.357,11,0.39,0.42
2026-10-24,0.611,0.781,0.428,11,0.479,0.468
2026-10-25,0.469,0.505,0.335,12,0.318,0.195
2026-10-26,0.32,0.329,0.201,3,0.287,0.4
2026-10-27,0.583,0.49,0.467,15,0.393,0.415
2026-10-28,0.783,0.786,0.744,1,0.605,0.519
2026-10-29,0.323,0.252,0.184,7,0.39,0.333
2026-10-30,0.55,0.519,0.47,13,0.417,0.404
2026-10-31,0.765,0.892,0.613,8,0.646,0.406
2026-11-01,0.325,0.436,0.307,8,0.396,0.316
2026-11-02,0.506,0.504,0.467,2,0.346,0.272
2026-11-03,0.32,0.319,0.122,5,0.171,0.258
2026-11-04,0.558,0.584,0.516,4,0.447,0.327
2026-11-05,0.365,0.328,0.166,9,0.329,0.172
2026-11-06,0.328,0.325,0.307,8,0.201,0.208
2026-11-07,0.528,0.675,0.497,6,0.381,0.269
2026-11-08,0.32,0.326,0.329,7,0,0.19
2026-11-09,0.45,0.282,0.22,4,0.365,0.343
2026-11-10,0.412,0.372,0.356,11,0.185,0.244
2026-11-11,0.456,0.437,0.467,9,0.184,0.347
2026-11-12,0.384,0.356,0.39,7,0.494,0.1
2026-11-13,0.53,0.577,0.428,12,0.532,0.123
2026-11-14,0.348,0.248,0.438,2,0.35,0
2026-11-15,0.609,0.655,0.277,8,0.509,0.309
2026-11-16,0.573,0.766,0.604,3,0.444,0.373
2026-11-17,0.34,0.454,0.378,3,0.419,0.223
2026-11-18,0.724,0.653,0.597,10,0.528,0.306
2026-11-19,0.32,0.392,0.291,5,0.23,0.123
2026-11-20,0.676,0.732,0.459,7,0.676,0.398
2026-11-21,0.484,0.568,0.403,10,0.535,0.235
2026-11-22,0.498,0.554,0.409,9,0.481,0.24
2026-11-23,0.52,0.63,0.339,2,0.498,0.293
2026-11-24,0.473,0.528,0.415,10,0.448,0.309
2026-11-25,0.7,0.642,0.567,13,0.382,0.418
2026-11-26,0.728,0.776,0.714,4,0.513,0.223
2026-11-27,0.721,0.699,0.477,10,0.515,0.348
2026-11-28,0.622,0.593,0.45,9,0.661,0.3
2026-11-29,0.378,0.345,0.235,6,0.392,0.216
2026-11-30,0.638,0.594,0.5,0,0.502,0.359
2026-12-01,0.354,0.34,0.128,6,0.246,0.278
2026-12-02,0.481,0.37,0.277,11,0.302,0.195
2026-12-03,0.511,0.472,0.22,12,0.401,0.263
2026-12-04,0.69,0.61,0.72,3,0.477,0.364
2026-12-05,0.841,0.754,0.765,6,0.746,0.52
2026-12-06,0.493,0.609,0.458,0,0.487,0.142
2026-12-07,0.665,0.602,0.398,2,0.595,0.344
2026-12-08,0.358,0.401,0.124,7,0.192,0.204
2026-12-09,0.743,0.713,0.524,5,0.519,0.551
2026-12-10,0.717,0.61,0.365,7,0.395,0.392
2026-12-11,0.612,0.679,0.677,5,0.628,0.341
2026-12-12,0.812,0.908,0.321,2,0.709,0.464
2026-12-13,0.877,0.93,0.855,1,0.763,0.573
2026-12-14,0.403,0.35,0.362,0,0.214,0.291
2026-12-15,0.42,0.266,0.43,9,0.304,0.306
2026-12-16,0.492,0.484,0.516,0,0.261,0.224
2026-12-17,0.819,0.843,0.605,15,0.659,0.703
2026-12-18,0.704,0.608,0.589,9,0.503,0.29
2026-12-19,0.627,0.64,0.412,13,0.517,0.485
2026-12-20,0.666,0.632,0.386,10,0.448,0.278
2026-12-21,0.538,0.66,0.149,10,0.381,0.115
2026-12-22,0.481,0.506,0.339,6,0.487,0.312
2026-12-23,0.807,0.764,0.725,0,0.552,0.437
2026-12-24,0.347,0.297,0.138,7,0.249,0.322
2026-12-25,0.623,0.611,0.266,5,0.418,0.509
2026-12-26,0.628,0.477,0.363,0,0.47,0.267
2026-12-27,0.414,0.336,0.334,11,0.304,0.15
2026-12-28,0.624,0.623,0.618,2,0.459,0.327
2026-12-29,0.38,0.323,0.403,3,0.405,0.321
2026-12-30,0.541,0.515,0.414,10,0.55,0.293
2026-12-31,0.479,0.433,0.183,3,0.173,0.372
